Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-12-10 21:00","10938","6069","307","3478","8051","-468","27","43","247","387","155","190","-5","1208",
"2023-12-10 21:05","11013","6073","312","3535","7863","-285","27","43","247","384","155","191","0","1212",
"2023-12-10 21:10","11085","6074","312","3516","7883","-287","27","43","247","386","157","191","0","1211",
"2023-12-10 21:15","11143","6071","312","3499","7771","-500","27","43","247","384","153","190","0","1216",
"2023-12-10 21:20","11218","6070","307","3503","7416","-307","27","43","247","385","153","191","-5","1214",
"2023-12-10 21:25","11231","6069","307","3515","7201","-73","27","43","247","383","154","191","-5","1217",
"2023-12-10 21:30","11225","6071","312","3489","7057","-182","27","43","247","383","153","191","0","1224",
"2023-12-10 21:35","11261","6069","307","3506","6981","-298","27","43","247","373","152","190","-5","1212",
"2023-12-10 21:40","11317","6076","311","3463","6738","-327","27","44","247","367","150","191","0","1214",
"2023-12-10 21:45","11314","6073","307","3442","6559","-292","27","32","247","362","139","191","-5","1212",
"2023-12-10 21:50","11385","6073","312","3399","6371","-268","27","30","247","364","136","192","0","1215",
"2023-12-10 21:55","11455","6071","307","3394","6183","-195","27","30","247","360","142","191","-5","1210",
"2023-12-10 22:00","11392","6067","307","3538","6303","-589","27","30","247","359","141","191","-5","1209",
"2023-12-10 22:05","11372","6072","312","4078","6569","-1393","27","30","246","361","138","192","0","1217",
"2023-12-10 22:10","11453","6073","315","4234","6504","-1719","27","30","246","358","136","192","0","1211",
"2023-12-10 22:15","11501","6071","308","4174","6235","-1557","27","30","246","353","131","192","-5","1198",
"2023-12-10 22:20","11500","6071","312","3680","6357","-1619","27","30","246","353","128","191","0","1208",
"2023-12-10 22:25","11527","6074","307","3492","6276","-1382","27","30","246","344","129","192","-4","1196",
"2023-12-10 22:30","11512","6072","312","3305","6211","-1308","27","30","246","349","127","192","0","1203",
"2023-12-10 22:35","11565","6074","307","3248","6199","-1583","27","30","246","340","126","192","-4","1197",
"2023-12-10 22:40","11620","6070","307","3171","6121","-1628","27","30","246","339","125","192","-4","1199",
"2023-12-10 22:45","11716","6095","312","3053","6048","-1845","27","30","246","340","126","192","0","1201",
"2023-12-10 22:50","11788","6108","312","2985","5826","-1902","27","29","246","339","138","201","0","1203",
"2023-12-10 22:55","11900","6107","308","2979","5456","-1914","27","30","246","330","135","208","-4","1199",
"2023-12-10 23:00","11973","6113","307","3029","5345","-2317","27","30","246","327","128","201","-4","1201",
"2023-12-10 23:05","12064","6119","308","2896","5322","-2543","27","30","245","319","126","198","-4","1200",
"2023-12-10 23:10","12093","6121","312","3058","5154","-2629","27","30","245","319","123","193","0","1204",
