Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-03-26 21:00","28026","27596","28925",
"2023-03-26 21:05","28497","28186","28925",
"2023-03-26 21:10","28610","28472","28925",
"2023-03-26 21:15","28601","28454","29022",
"2023-03-26 21:20","28730","28310","29022",
"2023-03-26 21:25","28661","28218","29022",
"2023-03-26 21:30","28933","28177","28669",
"2023-03-26 21:35","28727","28139","28669",
"2023-03-26 21:40","28486","28056","28669",
"2023-03-26 21:45","28396","27929","28689",
"2023-03-26 21:50","28541","27787","28689",
"2023-03-26 21:55","28519","27664","28689",
"2023-03-26 22:00","28190","27557","28247",
"2023-03-26 22:05","28232","27441","28247",
"2023-03-26 22:10","28039","27287","28247",
"2023-03-26 22:15","28005","27096","27927",
"2023-03-26 22:20","27904","26890","27927",
"2023-03-26 22:25","27617","26694","27927",
"2023-03-26 22:30","27442","26506","27137",
"2023-03-26 22:35","27305","26315","27137",
"2023-03-26 22:40","27085","26110","27137",
"2023-03-26 22:45","26896","25891","26437",
"2023-03-26 22:50","26869","25690","26437",
"2023-03-26 22:55","26877","25539","26437",
"2023-03-26 23:00","26365","25438","25440",
"2023-03-26 23:05","26255","25344","25440",
"2023-03-26 23:10","25897","25211","25440",
"2023-03-26 23:15","25585","25040","24619",
"2023-03-26 23:20","25594","24859","24619",
"2023-03-26 23:25","25505","24696","24619",
"2023-03-26 23:30","25432","24550","24546",
"2023-03-26 23:35","24944","24410","24546",
"2023-03-26 23:40","24969","24266","24546",
"2023-03-26 23:45","24684","24117","24047",
"2023-03-26 23:50","24767","23977","24047",
"2023-03-26 23:55","24224","23858","24047",
"2023-03-27 00:00","24012","23762","23357",
"2023-03-27 00:05","24098","23674","23357",
"2023-03-27 00:10","23845","23581","23357",
"2023-03-27 00:15","23850","23481","22957",
"2023-03-27 00:20","23435","23382","22957",
"2023-03-27 00:25","23578","23289","22957",
"2023-03-27 00:30","23387","23203","22657",
"2023-03-27 00:35","23466","23114","22657",
"2023-03-27 00:40","23122","23016","22657",
"2023-03-27 00:45","23009","22908","22657",
"2023-03-27 00:50","22930","22816","22657",
"2023-03-27 00:55","22865","22764","22657",
"2023-03-27 01:00","22639","22752","22437",
"2023-03-27 01:05","22436","22739","22437",
"2023-03-27 01:10","22452","22683","22437",
"2023-03-27 01:15","22239","22583","22057",
"2023-03-27 01:20","22218","22469","22057",
"2023-03-27 01:25","21946","22367","22057",
"2023-03-27 01:30","21955","22278","21827",
"2023-03-27 01:35","21931","22201","21827",
"2023-03-27 01:40","21865","22133","21827",
"2023-03-27 01:45","21875","22075","21627",
"2023-03-27 01:50","21594","22005","21627",
"2023-03-27 01:55","21508","21902","21627",
"2023-03-27 02:00","21699","21767","21308",
"2023-03-27 02:05","21682","21637","21308",
"2023-03-27 02:10","21578","21548","21308",
"2023-03-27 02:15","21368","21500","21282",
"2023-03-27 02:20","21466","21468","21282",
"2023-03-27 02:25","21463","21426","21282",
"2023-03-27 02:30","21097","21375","21148",
"2023-03-27 02:35","21094","21327","21148",
"2023-03-27 02:40","20909","21299","21148",
"2023-03-27 02:45","21155","21288","21048",
"2023-03-27 02:50","21085","21265","21048",
"2023-03-27 02:55","21003","21199","21048",
"2023-03-27 03:00","21068","21089","20704",
"2023-03-27 03:05","21050","20983","20704",
"2023-03-27 03:10","21092","20929","20704",
"2023-03-27 03:15","20827","20925","20704",
"2023-03-27 03:20","20622","20942","20704",
"2023-03-27 03:25","20736","20947","20704",
"2023-03-27 03:30","20778","20942","20775",
"2023-03-27 03:35","20967","20934","20775",
"2023-03-27 03:40","20788","20932","20775",
"2023-03-27 03:45","20833","20935","20704",
"2023-03-27 03:50","20704","20942","20704",
"2023-03-27 03:55","20880","20951","20704",
"2023-03-27 04:00","20850","20961","20855",
"2023-03-27 04:05","20696","20968","20855",
"2023-03-27 04:10","20736","20970","20855",
"2023-03-27 04:15","20953","20965","20855",
"2023-03-27 04:20","21078","20957","20855",
"2023-03-27 04:25","21011","20950","20855",
"2023-03-27 04:30","21108","20942","20955",
"2023-03-27 04:35","21136","20951","20955",
"2023-03-27 04:40","21148","20992","20955",
"2023-03-27 04:45","20942","21066","20955",
"2023-03-27 04:50","21042","21116","20955",
"2023-03-27 04:55","21046","21086","20955",
"2023-03-27 05:00","21078","20977","21404",
"2023-03-27 05:05","21546","20887","21404",
"2023-03-27 05:10","21589","20912","21404",
"2023-03-27 05:15","21348","21055","21704",
"2023-03-27 05:20","21570","21249","21704",
"2023-03-27 05:25","21585","21430","21704",
"2023-03-27 05:30","21599","21599","22024",
"2023-03-27 05:35","21846","21776","22024",
"2023-03-27 05:40","21865","21985","22024",
"2023-03-27 05:45","21750","22224","22424",
"2023-03-27 05:50","22230","22470","22424",
"2023-03-27 05:55","22448","22694","22424",
"2023-03-27 06:00","22778","22898","23714",
"2023-03-27 06:05","23385","23119","23714",
"2023-03-27 06:10","23745","23394","23714",
"2023-03-27 06:15","23963","23724","24409",
"2023-03-27 06:20","24254","24082","24409",
"2023-03-27 06:25","24416","24444","24409",
"2023-03-27 06:30","24496","24810","25279",
"2023-03-27 06:35","24987","25164","25279",
"2023-03-27 06:40","25274","25487","25279",
"2023-03-27 06:45","25375","25782","25950",
"2023-03-27 06:50","25836","26118","25950",
"2023-03-27 06:55","26081","26566","25950",
"2023-03-27 07:00","26530","27126","27415",
"2023-03-27 07:05","27325","27668","27415",
"2023-03-27 07:10","27632","28063","27415",
"2023-03-27 07:15","27834","28311","28015",
"2023-03-27 07:20","28201","28497","28015",
"2023-03-27 07:25","28510","28704","28015",
"2023-03-27 07:30","28887","28933","28636",
"2023-03-27 07:35","28955","29152","28636",
"2023-03-27 07:40","29180","29330","28636",
"2023-03-27 07:45","29323","29467","29154",
"2023-03-27 07:50","29395","29604","29154",
"2023-03-27 07:55","29432","29780","29154",
"2023-03-27 08:00","29337","29997","30129",
"2023-03-27 08:05","29822","30195","30129",
