Emisiones (t CO2 eq / MWh)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2024-01-03 21:00","0","0","313","2199","0","0","0","0","0","278","127","185","-3.4","560",
"2024-01-03 21:05","0","0","320","2188","0","0","0","0","0","277","127","185","-3.4","564",
"2024-01-03 21:10","0","0","327","2226","0","0","0","0","0","278","127","185","-3.4","566",
"2024-01-03 21:15","0","0","316","2234","0","0","0","0","0","278","126","185","-3.4","566",
"2024-01-03 21:20","0","0","303","2227","0","0","0","0","0","277","126","185","-3.4","566",
"2024-01-03 21:25","0","0","302","2192","0","0","0","0","0","278","123","185","0","564",
"2024-01-03 21:30","0","0","297","2188","0","0","0","0","0","278","122","185","-3.4","564",
"2024-01-03 21:35","0","0","300","2152","0","0","0","0","0","275","123","185","-3.4","566",
"2024-01-03 21:40","0","0","300","2131","0","0","0","0","0","271","123","185","-3.4","566",
"2024-01-03 21:45","0","0","305","2117","0","0","0","0","0","269","117","185","0","566",
"2024-01-03 21:50","0","0","300","2103","0","0","0","0","0","267","118","185","-3.4","566",
"2024-01-03 21:55","0","0","299","2110","0","0","0","0","0","267","117","185","-3.4","569",
"2024-01-03 22:00","0","0","299","2106","0","0","0","0","0","266","117","185","-3.4","569",
"2024-01-03 22:05","0","0","298","2043","0","0","0","0","0","266","98","185","-3.4","569",
"2024-01-03 22:10","0","0","291","1970","0","0","0","0","0","262","103","185","-3.4","570",
"2024-01-03 22:15","0","0","279","1929","0","0","0","0","0","260","102","185","-3.4","569",
"2024-01-03 22:20","0","0","276","1911","0","0","0","0","0","261","100","185","-2.7","569",
"2024-01-03 22:25","0","0","271","1852","0","0","0","0","0","260","98","185","-2.7","567",
"2024-01-03 22:30","0","0","271","1808","0","0","0","0","0","256","98","185","-2.7","567",
"2024-01-03 22:35","0","0","274","1777","0","0","0","0","0","254","100","185","-2.7","567",
"2024-01-03 22:40","0","0","272","1757","0","0","0","0","0","250","98","185","-2.7","567",
"2024-01-03 22:45","0","0","276","1770","0","0","0","0","0","242","99","186","-2.7","567",
"2024-01-03 22:50","0","0","276","1707","0","0","0","0","0","239","99","185","-2.7","569",
"2024-01-03 22:55","0","0","281","1676","0","0","0","0","0","239","89","186","-2.7","569",
