Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-11-15 21:00","33714","33677","33450",
"2023-11-15 21:05","33471","33725","33450",
"2023-11-15 21:10","33479","33639","33450",
"2023-11-15 21:15","33329","33418","33040",
"2023-11-15 21:20","33356","33138","33040",
"2023-11-15 21:25","33046","32873","33040",
"2023-11-15 21:30","32595","32624","31980",
"2023-11-15 21:35","32573","32383","31980",
"2023-11-15 21:40","32175","32143","31980",
"2023-11-15 21:45","32012","31904","31650",
"2023-11-15 21:50","31834","31634","31650",
"2023-11-15 21:55","31236","31298","31650",
"2023-11-15 22:00","31037","30897","30279",
"2023-11-15 22:05","30809","30501","30279",
"2023-11-15 22:10","30709","30180","30279",
"2023-11-15 22:15","30469","29934","29619",
"2023-11-15 22:20","29910","29719","29619",
"2023-11-15 22:25","29696","29488","29619",
"2023-11-15 22:30","29692","29242","29479",
"2023-11-15 22:35","29507","28997","29479",
"2023-11-15 22:40","29491","28769","29479",
"2023-11-15 22:45","29315","28558","28609",
"2023-11-15 22:50","28697","28345","28609",
"2023-11-15 22:55","28582","28112","28609",
"2023-11-15 23:00","28339","27859","27708",
"2023-11-15 23:05","28261","27609","27708",
"2023-11-15 23:10","28364","27389","27708",
"2023-11-15 23:15","27849","27197","27389",
"2023-11-15 23:20","27616","27022","27389",
"2023-11-15 23:25","27430","26852","27389",
"2023-11-15 23:30","27245","26687","26789",
"2023-11-15 23:35","27074","26522","26789",
"2023-11-15 23:40","26523","26350","26789",
"2023-11-15 23:45","26575","26171","26345",
"2023-11-15 23:50","26588","26018","26345",
"2023-11-15 23:55","26331","25921","26345",
"2023-11-16 00:00","26136","25882","25815",
"2023-11-16 00:05","26310","25846","25815",
"2023-11-16 00:10","26220","25758","25815",
"2023-11-16 00:15","26151","25619","25415",
"2023-11-16 00:20","25824","25463","25415",
"2023-11-16 00:25","25856","25324","25415",
"2023-11-16 00:30","25766","25202","25315",
"2023-11-16 00:35","25617","25087","25315",
"2023-11-16 00:40","25484","24968","25315",
"2023-11-16 00:45","25164","24846","24705",
"2023-11-16 00:50","25331","24727","24705",
"2023-11-16 00:55","25200","24620","24705",
"2023-11-16 01:00","25031","24524","24595",
"2023-11-16 01:05","24465","24430","24595",
"2023-11-16 01:10","24530","24329","24595",
"2023-11-16 01:15","24367","24221","24195",
"2023-11-16 01:20","24306","24113","24195",
"2023-11-16 01:25","24245","24011","24195",
"2023-11-16 01:30","23801","23916","23844",
"2023-11-16 01:35","23990","23823","23844",
"2023-11-16 01:40","24087","23732","23844",
