Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-11-09 21:00","34373","34318","34029",
"2023-11-09 21:05","33976","34289","34029",
"2023-11-09 21:10","34186","34181","34029",
"2023-11-09 21:15","34125","33996","33599",
"2023-11-09 21:20","34007","33774","33599",
"2023-11-09 21:25","33771","33556","33599",
"2023-11-09 21:30","33586","33344","32999",
"2023-11-09 21:35","33430","33129","32999",
"2023-11-09 21:40","33061","32905","32999",
"2023-11-09 21:45","32626","32673","32233",
"2023-11-09 21:50","32253","32427","32233",
"2023-11-09 21:55","32159","32162","32233",
"2023-11-09 22:00","31775","31879","31436",
"2023-11-09 22:05","31409","31594","31436",
"2023-11-09 22:10","31361","31325","31436",
"2023-11-09 22:15","31190","31071","30506",
"2023-11-09 22:20","30900","30822","30506",
"2023-11-09 22:25","30626","30568","30506",
"2023-11-09 22:30","30647","30309","29906",
"2023-11-09 22:35","30325","30051","29906",
"2023-11-09 22:40","30178","29799","29906",
"2023-11-09 22:45","29899","29553","29406",
"2023-11-09 22:50","29587","29309","29406",
"2023-11-09 22:55","29387","29060","29406",
"2023-11-09 23:00","29105","28807","28341",
"2023-11-09 23:05","28837","28562","28341",
"2023-11-09 23:10","28374","28337","28341",
"2023-11-09 23:15","28198","28130","27571",
"2023-11-09 23:20","27841","27935","27571",
"2023-11-09 23:25","27524","27743","27571",
"2023-11-09 23:30","27413","27555","27251",
"2023-11-09 23:35","27178","27372","27251",
"2023-11-09 23:40","26965","27196","27251",
"2023-11-09 23:45","26765","27028","26571",
"2023-11-09 23:50","26605","26864","26571",
"2023-11-09 23:55","26098","26701","26571",
"2023-11-10 00:00","26071","26538","26162",
"2023-11-10 00:05","26317","26379","26162",
"2023-11-10 00:10","26318","26226","26162",
"2023-11-10 00:15","26417","26077","25656",
"2023-11-10 00:20","26348","25932","25656",
"2023-11-10 00:25","26033","25788","25656",
"2023-11-10 00:30","25862","25645","25406",
"2023-11-10 00:35","25961","25507","25406",
"2023-11-10 00:40","25718","25380","25406",
"2023-11-10 00:45","25692","25262","25156",
"2023-11-10 00:50","25353","25138","25156",
"2023-11-10 00:55","25065","24992","25156",
"2023-11-10 01:00","24905","24824","24779",
"2023-11-10 01:05","24757","24661","24779",
"2023-11-10 01:10","24819","24526","24779",
"2023-11-10 01:15","24574","24420","24165",
"2023-11-10 01:20","24301","24328","24165",
"2023-11-10 01:25","24564","24234","24165",
"2023-11-10 01:30","24596","24139","24000",
"2023-11-10 01:35","24334","24043","24000",
"2023-11-10 01:40","24233","23948","24000",
"2023-11-10 01:45","24004","23856","23800",
"2023-11-10 01:50","23943","23773","23800",
"2023-11-10 01:55","24079","23708","23800",
"2023-11-10 02:00","23887","23661","23551",
"2023-11-10 02:05","23589","23618","23551",
"2023-11-10 02:10","23585","23567","23551",
"2023-11-10 02:15","23392","23508","23287",
"2023-11-10 02:20","23383","23446","23287",
"2023-11-10 02:25","23226","23391","23287",
"2023-11-10 02:30","23202","23342","23195",
"2023-11-10 02:35","22992","23299","23195",
"2023-11-10 02:40","23045","23262","23195",
"2023-11-10 02:45","23201","23232","22958",
"2023-11-10 02:50","22987","23198","22958",
"2023-11-10 02:55","23042","23152","22958",
"2023-11-10 03:00","22868","23093","22662",
"2023-11-10 03:05","22893","23036","22662",
"2023-11-10 03:10","23034","22995","22662",
"2023-11-10 03:15","22789","22969","22801",
"2023-11-10 03:20","22726","22950","22801",
"2023-11-10 03:25","22825","22927","22801",
"2023-11-10 03:30","22552","22902","22807",
"2023-11-10 03:35","22641","22879","22807",
"2023-11-10 03:40","22624","22867","22807",
"2023-11-10 03:45","22957","22866","22708",
"2023-11-10 03:50","22692","22858","22708",
"2023-11-10 03:55","22777","22827","22708",
"2023-11-10 04:00","22720","22774","22676",
"2023-11-10 04:05","22856","22722","22676",
"2023-11-10 04:10","22832","22693","22676",
"2023-11-10 04:15","22685","22687","22676",
"2023-11-10 04:20","22671","22690","22676",
"2023-11-10 04:25","22700","22687","22676",
"2023-11-10 04:30","22917","22677","22772",
"2023-11-10 04:35","22847","22680","22772",
"2023-11-10 04:40","23039","22716","22772",
"2023-11-10 04:45","22870","22785","22822",
"2023-11-10 04:50","22706","22833","22822",
"2023-11-10 04:55","22617","22805","22822",
"2023-11-10 05:00","22644","22701","23307",
"2023-11-10 05:05","22833","22613","23307",
"2023-11-10 05:10","22814","22633","23307",
"2023-11-10 05:15","22981","22761","23357",
"2023-11-10 05:20","23205","22936","23357",
"2023-11-10 05:25","23397","23100","23357",
"2023-11-10 05:30","23519","23250","23489",
"2023-11-10 05:35","23323","23408","23489",
"2023-11-10 05:40","23550","23594","23489",
"2023-11-10 05:45","23689","23807","23657",
"2023-11-10 05:50","23900","24025","23657",
"2023-11-10 05:55","23868","24225","23657",
"2023-11-10 06:00","24219","24408","25094",
"2023-11-10 06:05","24853","24607","25094",
"2023-11-10 06:10","25378","24856","25094",
"2023-11-10 06:15","25651","25156","25831",
"2023-11-10 06:20","25771","25483","25831",
"2023-11-10 06:25","26212","25814","25831",
"2023-11-10 06:30","26275","26150","26495",
"2023-11-10 06:35","26873","26474","26495",
"2023-11-10 06:40","26858","26772","26495",
"2023-11-10 06:45","27198","27044","27305",
"2023-11-10 06:50","27443","27355","27305",
"2023-11-10 06:55","27776","27769","27305",
"2023-11-10 07:00","28165","28287","29068",
"2023-11-10 07:05","28984","28784","29068",
"2023-11-10 07:10","29571","29138","29068",
"2023-11-10 07:15","29688","29348","29918",
"2023-11-10 07:20","30078","29498","29918",
"2023-11-10 07:25","30377","29673","29918",
"2023-11-10 07:30","30533","29871","30168",
"2023-11-10 07:35","30598","30058","30168",
"2023-11-10 07:40","30825","30198","30168",
"2023-11-10 07:45","30791","30290","30768",
"2023-11-10 07:50","30864","30400","30768",
"2023-11-10 07:55","30946","30594","30768",
"2023-11-10 08:00","30997","30870","31167",
"2023-11-10 08:05","31184","31135","31167",
"2023-11-10 08:10","31573","31296","31167",
"2023-11-10 08:15","31515","31353","31474",
"2023-11-10 08:20","31853","31369","31474",
"2023-11-10 08:25","31844","31404","31474",
"2023-11-10 08:30","31555","31460","31467",
"2023-11-10 08:35","31657","31508","31467",
"2023-11-10 08:40","31904","31521","31467",
"2023-11-10 08:45","31676","31498","31395",
"2023-11-10 08:50","31796","31492","31395",
"2023-11-10 08:55","31352","31556","31395",
"2023-11-10 09:00","31208","31690","31887",
"2023-11-10 09:05","31119","31820","31887",
"2023-11-10 09:10","31350","31871","31887",
"2023-11-10 09:15","31311","31842","31267",
"2023-11-10 09:20","31058","31777","31267",
"2023-11-10 09:25","31073","31719","31267",
"2023-11-10 09:30","30875","31668","30995",
"2023-11-10 09:35","30905","31630","30995",
"2023-11-10 09:40","30905","31609","30995",
"2023-11-10 09:45","30959","31606","30247",
"2023-11-10 09:50","30710","31563","30247",
"2023-11-10 09:55","30677","31422","30247",
"2023-11-10 10:00","30645","31183","30715",
"2023-11-10 10:05","30272","30951","30715",
"2023-11-10 10:10","30236","30833","30715",
"2023-11-10 10:15","30006","30827","30466",
"2023-11-10 10:20","30529","30862","30466",
"2023-11-10 10:25","30255","30866","30466",
"2023-11-10 10:30","30480","30839","29984",
"2023-11-10 10:35","30360","30811","29984",
"2023-11-10 10:40","30253","30809","29984",
"2023-11-10 10:45","30246","30835","30277",
"2023-11-10 10:50","30360","30838","30277",
"2023-11-10 10:55","30215","30771","30277",
"2023-11-10 11:00","30033","30633","30081",
"2023-11-10 11:05","30223","30489","30081",
"2023-11-10 11:10","30181","30402","30081",
"2023-11-10 11:15","30187","30374","30081",
"2023-11-10 11:20","30212","30368","30081",
"2023-11-10 11:25","30052","30345","30081",
"2023-11-10 11:30","30217","30305","30381",
"2023-11-10 11:35","30279","30264","30381",
"2023-11-10 11:40","30062","30236","30381",
"2023-11-10 11:45","30089","30219","29981",
"2023-11-10 11:50","29995","30198","29981",
"2023-11-10 11:55","29996","30156","29981",
"2023-11-10 12:00","30051","30093","29962",
"2023-11-10 12:05","30001","30037","29962",
"2023-11-10 12:10","30106","30016","29962",
"2023-11-10 12:15","29964","30030","29962",
"2023-11-10 12:20","30122","30057","29962",
"2023-11-10 12:25","30003","30077","29962",
"2023-11-10 12:30","30140","30090","29962",
"2023-11-10 12:35","29831","30103","29962",
"2023-11-10 12:40","30136","30126","29962",
"2023-11-10 12:45","30039","30158","29962",
"2023-11-10 12:50","30203","30181","29962",
"2023-11-10 12:55","29999","30180","29962",
"2023-11-10 13:00","30077","30153","29971",
"2023-11-10 13:05","30213","30123","29971",
"2023-11-10 13:10","30319","30112","29971",
"2023-11-10 13:15","30436","30120","29971",
"2023-11-10 13:20","30339","30133","29971",
"2023-11-10 13:25","30521","30137","29971",
"2023-11-10 13:30","30451","30132","30051",
"2023-11-10 13:35","30470","30122","30051",
"2023-11-10 13:40","30378","30109","30051",
"2023-11-10 13:45","30619","30094","30303",
"2023-11-10 13:50","30655","30079","30303",
"2023-11-10 13:55","30350","30065","30303",
"2023-11-10 14:00","30476","30054","30006",
"2023-11-10 14:05","30283","30037","30006",
"2023-11-10 14:10","30388","30009","30006",
"2023-11-10 14:15","30406","29968","29948",
"2023-11-10 14:20","30183","29923","29948",
"2023-11-10 14:25","30378","29883","29948",
"2023-11-10 14:30","30354","29848","30248",
"2023-11-10 14:35","30469","29811","30248",
"2023-11-10 14:40","30563","29764","30248",
"2023-11-10 14:45","30377","29709","29798",
"2023-11-10 14:50","30157","29670","29798",
"2023-11-10 14:55","30061","29669","29798",
"2023-11-10 15:00","30269","29709","29797",
"2023-11-10 15:05","30179","29755","29797",
"2023-11-10 15:10","30191","29775","29797",
"2023-11-10 15:15","30219","29770","29807",
"2023-11-10 15:20","30212","29758","29807",
"2023-11-10 15:25","30112","29759","29807",
"2023-11-10 15:30","29994","29773","30037",
"2023-11-10 15:35","29926","29793","30037",
"2023-11-10 15:40","29857","29813","30037",
"2023-11-10 15:45","29680","29832","29588",
"2023-11-10 15:50","30111","29856","29588",
"2023-11-10 15:55","30083","29892","29588",
"2023-11-10 16:00","30086","29939","29775",
"2023-11-10 16:05","30161","29987","29775",
"2023-11-10 16:10","30154","30024","29775",
"2023-11-10 16:15","30119","30051","29875",
"2023-11-10 16:20","30250","30079","29875",
"2023-11-10 16:25","30288","30117","29875",
"2023-11-10 16:30","29913","30167","30085",
"2023-11-10 16:35","30330","30223","30085",
"2023-11-10 16:40","30461","30279","30085",
"2023-11-10 16:45","30396","30336","30210",
"2023-11-10 16:50","30256","30408","30210",
"2023-11-10 16:55","30423","30511","30210",
"2023-11-10 17:00","30468","30644","30689",
"2023-11-10 17:05","30778","30789","30689",
"2023-11-10 17:10","30823","30926","30689",
"2023-11-10 17:15","31079","31054","30726",
"2023-11-10 17:20","30931","31183","30726",
"2023-11-10 17:25","30908","31319","30726",
"2023-11-10 17:30","30880","31463","30949",
"2023-11-10 17:35","31116","31612","30949",
"2023-11-10 17:40","31384","31760","30949",
"2023-11-10 17:45","31765","31908","31399",
"2023-11-10 17:50","31808","32053","31399",
"2023-11-10 17:55","31891","32195","31399",
"2023-11-10 18:00","31966","32332","32088",
"2023-11-10 18:05","32045","32462","32088",
"2023-11-10 18:10","32357","32585","32088",
"2023-11-10 18:15","32508","32698","32488",
"2023-11-10 18:20","32642","32805","32488",
"2023-11-10 18:25","32643","32904","32488",
"2023-11-10 18:30","32869","32996","33055",
"2023-11-10 18:35","32883","33085","33055",
"2023-11-10 18:40","32894","33171","33055",
"2023-11-10 18:45","32709","33256","33090",
"2023-11-10 18:50","32906","33331","33090",
"2023-11-10 18:55","33034","33387","33090",
"2023-11-10 19:00","33144","33425","33348",
"2023-11-10 19:05","33190","33460","33348",
"2023-11-10 19:10","33320","33508","33348",
"2023-11-10 19:15","33111","33569","33358",
"2023-11-10 19:20","33036","33634","33358",
"2023-11-10 19:25","33103","33691","33358",
"2023-11-10 19:30","33172","33742","33286",
"2023-11-10 19:35","33364","33781","33286",
"2023-11-10 19:40","33417","33807","33286",
"2023-11-10 19:45","33571","33819","33458",
"2023-11-10 19:50","33445","33837","33458",
"2023-11-10 19:55","33619","33880","33458",
"2023-11-10 20:00","33469","33948","33309",
"2023-11-10 20:05","33413","34008","33309",
"2023-11-10 20:10","33380","34028","33309",
"2023-11-10 20:15","33167","34008","33399",
"2023-11-10 20:20","33214","33965","33399",
"2023-11-10 20:25","33300","33917","33399",
"2023-11-10 20:30","33297","33864","33356",
"2023-11-10 20:35","33455","33805","33356",
"2023-11-10 20:40","33399","33736","33356",
"2023-11-10 20:45","33604","33658","33129",
"2023-11-10 20:50","33548","33561","33129",
"2023-11-10 20:55","33493","33434","33129",
"2023-11-10 21:00","33205","33278","32925",
"2023-11-10 21:05","33008","33110","32925",
"2023-11-10 21:10","33105","32945","32925",
"2023-11-10 21:15","32916","32784","32845",
"2023-11-10 21:20","32914","32618","32845",
"2023-11-10 21:25","32697","32437","32845",
"2023-11-10 21:30","32643","32241","31895",
"2023-11-10 21:35","32561","32035","31895",
"2023-11-10 21:40","32097","31824","31895",
"2023-11-10 21:45","31613","31606","31320",
"2023-11-10 21:50","31311","31383","31320",
"2023-11-10 21:55","31021","31153","31320",
"2023-11-10 22:00","30933","30916","30254",
"2023-11-10 22:05","30145","30677","30254",
"2023-11-10 22:10","30153","30438","30254",
"2023-11-10 22:15","30005","30199","29854",
"2023-11-10 22:20","29623","29957","29854",
"2023-11-10 22:25","29818","29711","29854",
"2023-11-10 22:30","29474","29459","28974",
"2023-11-10 22:35","29309","29217","28974",
"2023-11-10 22:40","29271","28998","28974",
"2023-11-10 22:45","28983","28804","28274",
"2023-11-10 22:50","28701","28586","28274",
"2023-11-10 22:55","28605","28298","28274",
"2023-11-10 23:00","28304","27939","27460",
"2023-11-10 23:05","27971","27597","27460",
"2023-11-10 23:10","28004","27357","27460",
"2023-11-10 23:15","27912","27219","27078",
"2023-11-10 23:20","27373","27127","27078",
"2023-11-10 23:25","27224","27022","27078",
"2023-11-10 23:30","27056","26906","26788",
"2023-11-10 23:35","26639","26788","26788",
"2023-11-10 23:40","26693","26679","26788",
"2023-11-10 23:45","26563","26580","26548",
"2023-11-10 23:50","26330","26489","26548",
"2023-11-10 23:55","25938","26406","26548",
"2023-11-11 00:00","25742","26329","25245",
"2023-11-11 00:05","25832","26244","25245",
"2023-11-11 00:10","25832","26134","25245",
"2023-11-11 00:15","26008","25998","24835",
"2023-11-11 00:20","25910","25851","24835",
"2023-11-11 00:25","25894","25707","24835",
"2023-11-11 00:30","25695","25565","24665",
"2023-11-11 00:35","25499","25425","24665",
"2023-11-11 00:40","25485","25283","24665",
"2023-11-11 00:45","25277","25139","24875",
"2023-11-11 00:50","25223","24995","24875",
"2023-11-11 00:55","24889","24852","24875",
"2023-11-11 01:00","24768","24709","24320",
"2023-11-11 01:05","24714","24569","24320",
"2023-11-11 01:10","24533","24437","24320",
"2023-11-11 01:15","24367","24313","24020",
"2023-11-11 01:20","24525","24191","24020",
"2023-11-11 01:25","24407","24066","24020",
"2023-11-11 01:30","24267","23939","23710",
"2023-11-11 01:35","23974","23820","23710",
"2023-11-11 01:40","24009","23720","23710",
"2023-11-11 01:45","23842","23640","23480",
"2023-11-11 01:50","23784","23542","23480",
"2023-11-11 01:55","23531","23389","23480",
"2023-11-11 02:00","23359","23181","22770",
"2023-11-11 02:05","23086","22979","22770",
"2023-11-11 02:10","23242","22848","22770",
"2023-11-11 02:15","23412","22786","22560",
"2023-11-11 02:20","23190","22752","22560",
"2023-11-11 02:25","23074","22707","22560",
"2023-11-11 02:30","22917","22649","22440",
"2023-11-11 02:35","22873","22587","22440",
"2023-11-11 02:40","22959","22528","22440",
"2023-11-11 02:45","22670","22472","22590",
"2023-11-11 02:50","22765","22427","22590",
"2023-11-11 02:55","22481","22400","22590",
"2023-11-11 03:00","22826","","",
