Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-06-18 21:00","32243","32769","32761",
"2024-06-18 21:05","32300","32726","32761",
"2024-06-18 21:10","32502","32697","32761",
"2024-06-18 21:15","32324","32682","32691",
"2024-06-18 21:20","32319","32667","32691",
"2024-06-18 21:25","32456","32637","32691",
"2024-06-18 21:30","32242","32591","32741",
"2024-06-18 21:35","32495","32528","32741",
"2024-06-18 21:40","32546","32443","32741",
"2024-06-18 21:45","32424","32336","32531",
"2024-06-18 21:50","32449","32234","32531",
"2024-06-18 21:55","32244","32162","32531",
"2024-06-18 22:00","32334","32122","32158",
"2024-06-18 22:05","31991","32068","32158",
"2024-06-18 22:10","31921","31957","32158",
"2024-06-18 22:15","31718","31790","31114",
"2024-06-18 22:20","31576","31591","31114",
"2024-06-18 22:25","31454","31388","31114",
"2024-06-18 22:30","31213","31180","30531",
"2024-06-18 22:35","30902","30972","30531",
"2024-06-18 22:40","30725","30767","30531",
"2024-06-18 22:45","30341","30566","30121",
"2024-06-18 22:50","30124","30340","30121",
"2024-06-18 22:55","30057","30064","30121",
"2024-06-18 23:00","29708","29737","29123",
"2024-06-18 23:05","29500","29415","29123",
"2024-06-18 23:10","29303","29154","29123",
"2024-06-18 23:15","29074","28954","28823",
"2024-06-18 23:20","28907","28782","28823",
"2024-06-18 23:25","28870","28604","28823",
"2024-06-18 23:30","28548","28420","28076",
"2024-06-18 23:35","28377","28244","28076",
"2024-06-18 23:40","28099","28089","28076",
"2024-06-18 23:45","27804","27957","27623",
"2024-06-18 23:50","27615","27818","27623",
"2024-06-18 23:55","27545","27646","27623",
"2024-06-19 00:00","27177","27440","27455",
"2024-06-19 00:05","27285","27238","27455",
"2024-06-19 00:10","27279","27078","27455",
"2024-06-19 00:15","27146","26960","26835",
"2024-06-19 00:20","27083","26861","26835",
"2024-06-19 00:25","26953","26758","26835",
"2024-06-19 00:30","26702","26650","26565",
"2024-06-19 00:35","26571","26542","26565",
"2024-06-19 00:40","26399","26438","26565",
"2024-06-19 00:45","26282","26339","26215",
"2024-06-19 00:50","26121","26245","26215",
"2024-06-19 00:55","25788","26158","26215",
"2024-06-19 01:00","25579","26078","25658",
"2024-06-19 01:05","25707","25998","25658",
"2024-06-19 01:10","25750","25912","25658",
"2024-06-19 01:15","25435","25822","25210",
"2024-06-19 01:20","25174","25725","25210",
"2024-06-19 01:25","25346","25621","25210",
"2024-06-19 01:30","25249","25512","24941",
"2024-06-19 01:35","25289","25408","24941",
"2024-06-19 01:40","25285","25325","24941",
"2024-06-19 01:45","25141","25261","24859",
"2024-06-19 01:50","24812","25170","24859",
"2024-06-19 01:55","24803","25004","24859",
"2024-06-19 02:00","24633","24763","24485",
"2024-06-19 02:05","24628","24529","24485",
"2024-06-19 02:10","24537","24385","24485",
"2024-06-19 02:15","24219","24331","24315",
"2024-06-19 02:20","24190","24311","24315",
"2024-06-19 02:25","24252","24272","24315",
"2024-06-19 02:30","24189","24213","24165",
"2024-06-19 02:35","24058","24148","24165",
"2024-06-19 02:40","23931","24092","24165",
"2024-06-19 02:45","23986","24045","23945",
"2024-06-19 02:50","24051","24003","23945",
"2024-06-19 02:55","23948","23965","23945",
"2024-06-19 03:00","23918","23930","23803",
"2024-06-19 03:05","23925","23898","23803",
"2024-06-19 03:10","23850","23865","23803",
"2024-06-19 03:15","23771","23832","23613",
"2024-06-19 03:20","23669","23799","23613",
"2024-06-19 03:25","23555","23766","23613",
"2024-06-19 03:30","23601","23733","23443",
"2024-06-19 03:35","23700","23707","23443",
"2024-06-19 03:40","23732","23691","23443",
"2024-06-19 03:45","23681","23688","23413",
"2024-06-19 03:50","23656","23673","23413",
"2024-06-19 03:55","23620","23623","23413",
"2024-06-19 04:00","23674","23539","23315",
"2024-06-19 04:05","23531","23457","23315",
"2024-06-19 04:10","23649","23416","23315",
"2024-06-19 04:15","23570","23416","23315",
"2024-06-19 04:20","23399","23430","23315",
"2024-06-19 04:25","23490","23433","23315",
"2024-06-19 04:30","23422","23424","23295",
"2024-06-19 04:35","23565","23420","23295",
"2024-06-19 04:40","23537","23436","23295",
"2024-06-19 04:45","23535","23473","23255",
"2024-06-19 04:50","23561","23500","23255",
"2024-06-19 04:55","23591","23485","23255",
"2024-06-19 05:00","23647","23430","23472",
"2024-06-19 05:05","23929","23384","23472",
"2024-06-19 05:10","23911","23400","23472",
"2024-06-19 05:15","23762","23477","23682",
"2024-06-19 05:20","23838","23584","23682",
"2024-06-19 05:25","23974","23692","23682",
"2024-06-19 05:30","23792","23802","24022",
"2024-06-19 05:35","23976","23918","24022",
"2024-06-19 05:40","24073","24048","24022",
"2024-06-19 05:45","24265","24191","24202",
"2024-06-19 05:50","24384","24348","24202",
"2024-06-19 05:55","24618","24517","24202",
"2024-06-19 06:00","24632","24699","25059",
"2024-06-19 06:05","25069","24888","25059",
"2024-06-19 06:10","25569","25077","25059",
"2024-06-19 06:15","25872","25266","25669",
"2024-06-19 06:20","25799","25462","25669",
"2024-06-19 06:25","25875","25668","25669",
