Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-08-29 21:00","32325","32541","32729",
"2023-08-29 21:05","32523","32884","32729",
"2023-08-29 21:10","32986","33020","32729",
"2023-08-29 21:15","33108","32947","32930",
"2023-08-29 21:20","33117","32785","32930",
"2023-08-29 21:25","33172","32651","32930",
"2023-08-29 21:30","33072","32547","32743",
"2023-08-29 21:35","32896","32444","32743",
"2023-08-29 21:40","32795","32313","32743",
"2023-08-29 21:45","32608","32156","32213",
"2023-08-29 21:50","32288","31980","32213",
"2023-08-29 21:55","32216","31792","32213",
"2023-08-29 22:00","31846","31594","31413",
"2023-08-29 22:05","31586","31392","31413",
"2023-08-29 22:10","31440","31195","31413",
"2023-08-29 22:15","31342","31002","30947",
"2023-08-29 22:20","31162","30808","30947",
"2023-08-29 22:25","30806","30607","30947",
"2023-08-29 22:30","30397","30401","30409",
"2023-08-29 22:35","30322","30194","30409",
"2023-08-29 22:40","30133","29994","30409",
"2023-08-29 22:45","29755","29799","29619",
"2023-08-29 22:50","29660","29597","29619",
"2023-08-29 22:55","29590","29377","29619",
"2023-08-29 23:00","29147","29139","28779",
"2023-08-29 23:05","29217","28906","28779",
"2023-08-29 23:10","28963","28704","28779",
"2023-08-29 23:15","28709","28533","28360",
"2023-08-29 23:20","28368","28376","28360",
"2023-08-29 23:25","28297","28218","28360",
"2023-08-29 23:30","28110","28059","28050",
"2023-08-29 23:35","28021","27902","28050",
"2023-08-29 23:40","27745","27753","28050",
"2023-08-29 23:45","27439","27610","27548",
"2023-08-29 23:50","27305","27470","27548",
"2023-08-29 23:55","27343","27328","27548",
"2023-08-30 00:00","26949","27185","27054",
"2023-08-30 00:05","26975","27042","27054",
"2023-08-30 00:10","27064","26902","27054",
"2023-08-30 00:15","26963","26765","26964",
"2023-08-30 00:20","26900","26630","26964",
"2023-08-30 00:25","26852","26496","26964",
"2023-08-30 00:30","26744","26364","26244",
"2023-08-30 00:35","26680","26234","26244",
"2023-08-30 00:40","26406","26109","26244",
"2023-08-30 00:45","26253","25990","25904",
"2023-08-30 00:50","26160","25870","25904",
"2023-08-30 00:55","25987","25746","25904",
"2023-08-30 01:00","25873","25617","25444",
"2023-08-30 01:05","25713","25491","25444",
"2023-08-30 01:10","25697","25375","25444",
"2023-08-30 01:15","25481","25270","25154",
"2023-08-30 01:20","25454","25169","25154",
"2023-08-30 01:25","25277","25067","25154",
"2023-08-30 01:30","25136","24965","25124",
"2023-08-30 01:35","25100","24868","25124",
"2023-08-30 01:40","25025","24782","25124",
"2023-08-30 01:45","24849","24708","24834",
"2023-08-30 01:50","24781","24627","24834",
"2023-08-30 01:55","24815","24523","24834",
"2023-08-30 02:00","24788","24395","24352",
"2023-08-30 02:05","24719","24271","24352",
"2023-08-30 02:10","24643","24178","24352",
"2023-08-30 02:15","24523","24116","24262",
"2023-08-30 02:20","24409","24069","24262",
"2023-08-30 02:25","24312","24019","24262",
"2023-08-30 02:30","24233","23967","24162",
"2023-08-30 02:35","24062","23914","24162",
"2023-08-30 02:40","23826","23864","24162",
"2023-08-30 02:45","23882","23816","24012",
"2023-08-30 02:50","23936","23775","24012",
"2023-08-30 02:55","23867","23746","24012",
"2023-08-30 03:00","23945","23728","23710",
"2023-08-30 03:05","23908","23710","23710",
"2023-08-30 03:10","23692","23677","23710",
"2023-08-30 03:15","23737","23630","23656",
"2023-08-30 03:20","23708","23581","23656",
"2023-08-30 03:25","23696","23544","23656",
"2023-08-30 03:30","23748","23516","23553",
"2023-08-30 03:35","23642","23488","23553",
"2023-08-30 03:40","23445","23446","23553",
"2023-08-30 03:45","23399","23391","23441",
"2023-08-30 03:50","23507","23357","23441",
"2023-08-30 03:55","23538","23380","23441",
"2023-08-30 04:00","23426","23460","23438",
"2023-08-30 04:05","23472","23540","23438",
"2023-08-30 04:10","23519","23563","23438",
"2023-08-30 04:15","23580","23530","23438",
"2023-08-30 04:20","23622","23475","23438",
"2023-08-30 04:25","23497","23434","23438",
"2023-08-30 04:30","23396","23406","23438",
"2023-08-30 04:35","23407","23398","23438",
"2023-08-30 04:40","23394","23413","23438",
"2023-08-30 04:45","23339","23454","23438",
"2023-08-30 04:50","23258","23470","23438",
"2023-08-30 04:55","23267","23416","23438",
"2023-08-30 05:00","23298","23291","23535",
"2023-08-30 05:05","23506","23180","23535",
"2023-08-30 05:10","23468","23168","23535",
"2023-08-30 05:15","23611","23257","23605",
"2023-08-30 05:20","23670","23389","23605",
"2023-08-30 05:25","23733","23506","23605",
"2023-08-30 05:30","23757","23610","23845",
"2023-08-30 05:35","23500","23718","23845",
"2023-08-30 05:40","23705","23845","23845",
"2023-08-30 05:45","23812","23994","24195",
"2023-08-30 05:50","23882","24145","24195",
"2023-08-30 05:55","24132","24283","24195",
"2023-08-30 06:00","24316","24407","24815",
"2023-08-30 06:05","24858","24540","24815",
"2023-08-30 06:10","25045","24703","24815",
"2023-08-30 06:15","25258","24897","25525",
"2023-08-30 06:20","25479","25106","25525",
"2023-08-30 06:25","25711","25315","25525",
"2023-08-30 06:30","25666","25524","26025",
"2023-08-30 06:35","25966","25725","26025",
"2023-08-30 06:40","26013","25909","26025",
"2023-08-30 06:45","26395","26076","26525",
"2023-08-30 06:50","26426","26264","26525",
"2023-08-30 06:55","26795","26508","26525",
"2023-08-30 07:00","26919","26810","27640",
"2023-08-30 07:05","27529","27095","27640",
"2023-08-30 07:10","27556","27291","27640",
"2023-08-30 07:15","27765","27396","28040",
"2023-08-30 07:20","27855","27466","28040",
"2023-08-30 07:25","28098","27552","28040",
"2023-08-30 07:30","28167","27655","27990",
"2023-08-30 07:35","28014","27752","27990",
"2023-08-30 07:40","28164","27820","27990",
"2023-08-30 07:45","28089","27859","28090",
"2023-08-30 07:50","28023","27916","28090",
"2023-08-30 07:55","28100","28039","28090",
"2023-08-30 08:00","28180","28227","28623",
"2023-08-30 08:05","28475","28416","28623",
"2023-08-30 08:10","28525","28545","28623",
"2023-08-30 08:15","28585","28612","28762",
"2023-08-30 08:20","28826","28656","28762",
"2023-08-30 08:25","28794","28716","28762",
"2023-08-30 08:30","28761","28791","29052",
"2023-08-30 08:35","29138","28871","29052",
"2023-08-30 08:40","29181","28944","29052",
"2023-08-30 08:45","29166","29010","29252",
"2023-08-30 08:50","29143","29075","29252",
"2023-08-30 08:55","29288","29147","29252",
"2023-08-30 09:00","29208","29225","29748",
"2023-08-30 09:05","29506","29303","29748",
"2023-08-30 09:10","29746","29372","29748",
"2023-08-30 09:15","29852","29432","29888",
"2023-08-30 09:20","29643","29489","29888",
"2023-08-30 09:25","29774","29548","29888",
"2023-08-30 09:30","29845","29608","30034",
"2023-08-30 09:35","30072","29666","30034",
"2023-08-30 09:40","29999","29716","30034",
