Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-10-29 21:00","8714","4325","257","5291","6067","1756","66","53","251","370","81","136","0","1084",
"2023-10-29 21:05","8816","4324","259","5309","6018","1586","66","53","250","368","80","135","0","1085",
"2023-10-29 21:10","8927","4327","258","5261","5959","1642","66","53","250","369","79","136","0","1080",
"2023-10-29 21:15","8965","4328","258","5245","5866","1122","66","53","250","366","80","136","0","1081",
"2023-10-29 21:20","8973","4327","258","5197","5785","1184","66","53","250","367","80","135","0","1077",
"2023-10-29 21:25","9000","4324","258","5186","5666","1396","66","53","250","367","80","136","0","1074",
"2023-10-29 21:30","8961","4323","258","5162","5440","1426","66","53","250","363","79","136","0","1069",
"2023-10-29 21:35","9116","4328","258","5137","5483","1119","66","53","250","363","80","135","0","1070",
"2023-10-29 21:40","9218","4329","261","5014","5256","1178","66","52","250","357","79","135","0","1071",
"2023-10-29 21:45","9308","4324","259","4945","5002","1325","66","52","250","351","80","136","0","1067",
"2023-10-29 21:50","9347","4329","257","4937","4710","1407","66","52","250","348","79","135","0","1068",
"2023-10-29 21:55","9350","4326","258","4905","4638","1604","66","52","250","344","79","136","0","1071",
"2023-10-29 22:00","9414","4328","258","4977","4869","1164","66","52","250","342","80","136","0","1079",
"2023-10-29 22:05","9433","4324","257","4842","5240","573","66","52","248","339","81","136","0","1079",
"2023-10-29 22:10","9472","4329","258","4910","5516","101","66","52","248","337","78","136","0","1078",
"2023-10-29 22:15","9439","4326","258","4882","5504","184","66","52","248","335","80","135","0","1076",
"2023-10-29 22:20","9431","4324","258","4794","5472","-89","66","52","248","333","79","133","0","1031",
"2023-10-29 22:25","9546","4323","253","4728","5211","43","66","51","248","325","80","131","-4","1071",
"2023-10-29 22:30","9566","4325","258","4693","5045","76","66","52","248","329","80","128","0","1074",
"2023-10-29 22:35","9573","4324","258","4697","4946","-6","66","53","248","323","75","122","0","1082",
"2023-10-29 22:40","9532","4324","258","4757","4984","-81","66","53","248","322","67","117","0","1078",
"2023-10-29 22:45","9617","4328","258","4680","4852","-22","66","53","248","321","65","116","0","1078",
"2023-10-29 22:50","9605","4329","254","4612","4571","-37","66","53","248","311","65","116","-4","1069",
"2023-10-29 22:55","9512","4325","255","4541","4440","-137","66","52","248","309","66","115","-4","1062",
