Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-02-05 21:00","33130","33392","33564",
"2023-02-05 21:05","33404","33552","33564",
"2023-02-05 21:10","33504","33583","33564",
"2023-02-05 21:15","33352","33484","33233",
"2023-02-05 21:20","33354","33330","33233",
"2023-02-05 21:25","33385","33195","33233",
"2023-02-05 21:30","33224","33077","32813",
"2023-02-05 21:35","33096","32960","32813",
"2023-02-05 21:40","32692","32825","32813",
"2023-02-05 21:45","32272","32672","32433",
"2023-02-05 21:50","32307","32504","32433",
"2023-02-05 21:55","32133","32324","32433",
"2023-02-05 22:00","31958","32132","31589",
"2023-02-05 22:05","31673","31930","31589",
"2023-02-05 22:10","31675","31720","31589",
"2023-02-05 22:15","31514","31503","30808",
"2023-02-05 22:20","31138","31279","30808",
"2023-02-05 22:25","31089","31046","30808",
"2023-02-05 22:30","30688","30807","30111",
"2023-02-05 22:35","30387","30563","30111",
"2023-02-05 22:40","29998","30320","30111",
"2023-02-05 22:45","29526","30077","29651",
"2023-02-05 22:50","29640","29828","29651",
"2023-02-05 22:55","29563","29567","29651",
"2023-02-05 23:00","29361","29293","28309",
"2023-02-05 23:05","29055","29023","28309",
"2023-02-05 23:10","28702","28772","28309",
"2023-02-05 23:15","28679","28540","27780",
"2023-02-05 23:20","28290","28317","27780",
"2023-02-05 23:25","28186","28092","27780",
"2023-02-05 23:30","27598","27865","27390",
"2023-02-05 23:35","27426","27643","27390",
"2023-02-05 23:40","27183","27434","27390",
"2023-02-05 23:45","26735","27238","26980",
"2023-02-05 23:50","26597","27036","26980",
"2023-02-05 23:55","26430","26809","26980",
"2023-02-06 00:00","26357","26557","25895",
"2023-02-06 00:05","26442","26310","25895",
"2023-02-06 00:10","25912","26098","25895",
"2023-02-06 00:15","25538","25921","25412",
"2023-02-06 00:20","25434","25759","25412",
"2023-02-06 00:25","25478","25592","25412",
"2023-02-06 00:30","25346","25419","25021",
"2023-02-06 00:35","25238","25248","25021",
"2023-02-06 00:40","24717","25088","25021",
"2023-02-06 00:45","24791","24939","24384",
"2023-02-06 00:50","24860","24789","24384",
"2023-02-06 00:55","24433","24630","24384",
"2023-02-06 01:00","24000","24460","23773",
"2023-02-06 01:05","23826","24296","23773",
"2023-02-06 01:10","24014","24154","23773",
"2023-02-06 01:15","23878","24032","23775",
"2023-02-06 01:20","23827","23920","23775",
"2023-02-06 01:25","23623","23806","23775",
"2023-02-06 01:30","23549","23689","23240",
"2023-02-06 01:35","23306","23579","23240",
"2023-02-06 01:40","23364","23483","23240",
"2023-02-06 01:45","23089","23402","22948",
"2023-02-06 01:50","23147","23314","22948",
"2023-02-06 01:55","23167","23197","22948",
"2023-02-06 02:00","23060","23049","22688",
"2023-02-06 02:05","23165","22907","22688",
"2023-02-06 02:10","22856","22805","22688",
"2023-02-06 02:15","22750","22744","22588",
"2023-02-06 02:20","22766","22700","22588",
"2023-02-06 02:25","22823","22649","22588",
"2023-02-06 02:30","22546","22592","22537",
"2023-02-06 02:35","22691","22537","22537",
"2023-02-06 02:40","22715","22494","22537",
"2023-02-06 02:45","22653","22462","22482",
"2023-02-06 02:50","22602","22429","22482",
"2023-02-06 02:55","22524","22378","22482",
"2023-02-06 03:00","22673","22312","22327",
"2023-02-06 03:05","22504","22248","22327",
"2023-02-06 03:10","22289","22208","22327",
"2023-02-06 03:15","22248","22190","22259",
"2023-02-06 03:20","22164","22183","22259",
"2023-02-06 03:25","22186","22176","22259",
"2023-02-06 03:30","22241","22168","22136",
"2023-02-06 03:35","22351","22157","22136",
"2023-02-06 03:40","22127","22141","22136",
"2023-02-06 03:45","22340","22121","22086",
"2023-02-06 03:50","22221","22116","22086",
"2023-02-06 03:55","22213","22145","22086",
"2023-02-06 04:00","22040","22210","22004",
"2023-02-06 04:05","22142","22275","22004",
"2023-02-06 04:10","22108","22306","22004",
"2023-02-06 04:15","22092","22303","22058",
"2023-02-06 04:20","22199","22288","22058",
"2023-02-06 04:25","22346","22282","22058",
"2023-02-06 04:30","22318","22284","22156",
"2023-02-06 04:35","22634","22308","22156",
"2023-02-06 04:40","22588","22370","22156",
"2023-02-06 04:45","22480","22469","22304",
"2023-02-06 04:50","22455","22537","22304",
"2023-02-06 04:55","22607","22507","22304",
"2023-02-06 05:00","22655","22378","22443",
"2023-02-06 05:05","22953","22269","22443",
"2023-02-06 05:10","22744","22296","22443",
"2023-02-06 05:15","22945","22459","22833",
"2023-02-06 05:20","22904","22683","22833",
"2023-02-06 05:25","22923","22889","22833",
"2023-02-06 05:30","22987","23078","23128",
"2023-02-06 05:35","23321","23280","23128",
"2023-02-06 05:40","23473","23526","23128",
"2023-02-06 05:45","23464","23815","23915",
"2023-02-06 05:50","23710","24103","23915",
"2023-02-06 05:55","24003","24345","23915",
"2023-02-06 06:00","24550","24542","25078",
"2023-02-06 06:05","25467","24762","25078",
"2023-02-06 06:10","25762","25074","25078",
"2023-02-06 06:15","25826","25477","26394",
"2023-02-06 06:20","26052","25927","26394",
"2023-02-06 06:25","26550","26379","26394",
"2023-02-06 06:30","27110","26832","27595",
"2023-02-06 06:35","27553","27272","27595",
"2023-02-06 06:40","27840","27684","27595",
"2023-02-06 06:45","27903","28070","28779",
"2023-02-06 06:50","28436","28506","28779",
"2023-02-06 06:55","28625","29069","28779",
"2023-02-06 07:00","29149","29761","30930",
"2023-02-06 07:05","30225","30436","30930",
"2023-02-06 07:10","31068","30947","30930",
"2023-02-06 07:15","31542","31296","32165",
"2023-02-06 07:20","31871","31579","32165",
"2023-02-06 07:25","31945","31893","32165",
"2023-02-06 07:30","32637","32238","32705",
"2023-02-06 07:35","33140","32568","32705",
"2023-02-06 07:40","33427","32834","32705",
"2023-02-06 07:45","33339","33037","33355",
"2023-02-06 07:50","33578","33269","33355",
"2023-02-06 07:55","33805","33621","33355",
"2023-02-06 08:00","34081","34093","34811",
"2023-02-06 08:05","34469","34547","34811",
"2023-02-06 08:10","34973","34845","34811",
"2023-02-06 08:15","35077","34985","35362",
"2023-02-06 08:20","35098","35059","35362",
"2023-02-06 08:25","35236","35154","35362",
"2023-02-06 08:30","35235","35272","35582",
"2023-02-06 08:35","35393","35387","35582",
"2023-02-06 08:40","35314","35474","35582",
"2023-02-06 08:45","35271","35535","35582",
"2023-02-06 08:50","35131","35586","35582",
"2023-02-06 08:55","35301","35644","35582",
"2023-02-06 09:00","35557","35711","35819",
"2023-02-06 09:05","35628","35770","35819",
"2023-02-06 09:10","35708","35805","35819",
"2023-02-06 09:15","35810","35817","35801",
"2023-02-06 09:20","35942","35817","35801",
"2023-02-06 09:25","35786","35817","35801",
"2023-02-06 09:30","35918","35818","35864",
"2023-02-06 09:35","36023","35811","35864",
"2023-02-06 09:40","36033","35785","35864",
"2023-02-06 09:45","36024","35741","35904",
"2023-02-06 09:50","35821","35707","35904",
"2023-02-06 09:55","35761","35707","35904",
"2023-02-06 10:00","35653","35744","35983",
"2023-02-06 10:05","35891","35774","35983",
"2023-02-06 10:10","35941","35757","35983",
"2023-02-06 10:15","35853","35692","35783",
"2023-02-06 10:20","35941","35606","35783",
"2023-02-06 10:25","35850","35526","35783",
"2023-02-06 10:30","35923","35452","35681",
"2023-02-06 10:35","35927","35378","35681",
"2023-02-06 10:40","36009","35298","35681",
"2023-02-06 10:45","35900","35210","35481",
"2023-02-06 10:50","35711","35123","35481",
"2023-02-06 10:55","35605","35042","35481",
"2023-02-06 11:00","35555","34968","34983",
"2023-02-06 11:05","35593","34899","34983",
"2023-02-06 11:10","35633","34836","34983",
"2023-02-06 11:15","35494","34779","35083",
"2023-02-06 11:20","35286","34727","35083",
"2023-02-06 11:25","35366","34681","35083",
"2023-02-06 11:30","35299","34640","35483",
"2023-02-06 11:35","35372","34597","35483",
"2023-02-06 11:40","35234","34544","35483",
"2023-02-06 11:45","35397","34482","34983",
"2023-02-06 11:50","35259","34440","34983",
"2023-02-06 11:55","35072","34446","34983",
"2023-02-06 12:00","35149","34501","34962",
"2023-02-06 12:05","35155","34558","34962",
"2023-02-06 12:10","35357","34570","34962",
"2023-02-06 12:15","35402","34539","34862",
"2023-02-06 12:20","35238","34496","34862",
"2023-02-06 12:25","35188","34478","34862",
"2023-02-06 12:30","35329","34482","34856",
"2023-02-06 12:35","35461","34480","34856",
"2023-02-06 12:40","35242","34442","34856",
"2023-02-06 12:45","35295","34367","35201",
"2023-02-06 12:50","35253","34337","35201",
"2023-02-06 12:55","35604","34431","35201",
"2023-02-06 13:00","35525","34649","34997",
"2023-02-06 13:05","35657","34862","34997",
"2023-02-06 13:10","35555","34938","34997",
"2023-02-06 13:15","35838","34877","35195",
"2023-02-06 13:20","35728","34768","35195",
"2023-02-06 13:25","35656","34699","35195",
"2023-02-06 13:30","35758","34671","35084",
"2023-02-06 13:35","35748","34644","35084",
"2023-02-06 13:40","35573","34580","35084",
"2023-02-06 13:45","35566","34479","34594",
"2023-02-06 13:50","35424","34411","34594",
"2023-02-06 13:55","35143","34443","34594",
"2023-02-06 14:00","34847","34578","35024",
"2023-02-06 14:05","34950","34713","35024",
"2023-02-06 14:10","34945","34747","35024",
"2023-02-06 14:15","35019","34680","35118",
"2023-02-06 14:20","35085","34581","35118",
"2023-02-06 14:25","35059","34515","35118",
"2023-02-06 14:30","34974","34484","34818",
"2023-02-06 14:35","35029","34454","34818",
"2023-02-06 14:40","34963","34394","34818",
"2023-02-06 14:45","34950","34303","34607",
"2023-02-06 14:50","34767","34246","34607",
"2023-02-06 14:55","34688","34287","34607",
"2023-02-06 15:00","34388","34424","34272",
"2023-02-06 15:05","34363","34565","34272",
"2023-02-06 15:10","34525","34615","34272",
"2023-02-06 15:15","34486","34574","34266",
"2023-02-06 15:20","34342","34499","34266",
"2023-02-06 15:25","34232","34452","34266",
"2023-02-06 15:30","34412","34430","34417",
"2023-02-06 15:35","34415","34425","34417",
"2023-02-06 15:40","34499","34428","34417",
"2023-02-06 15:45","34479","34437","34465",
"2023-02-06 15:50","34272","34433","34465",
"2023-02-06 15:55","34365","34394","34465",
"2023-02-06 16:00","34289","34320","34376",
"2023-02-06 16:05","34399","34252","34376",
"2023-02-06 16:10","34484","34228","34376",
"2023-02-06 16:15","34421","34249","34373",
"2023-02-06 16:20","34252","34289","34373",
"2023-02-06 16:25","34250","34321","34373",
"2023-02-06 16:30","34330","34345","34423",
"2023-02-06 16:35","34295","34372","34423",
"2023-02-06 16:40","34380","34413","34423",
"2023-02-06 16:45","34425","34468","34433",
"2023-02-06 16:50","34468","34520","34433",
"2023-02-06 16:55","34484","34553","34433",
"2023-02-06 17:00","34414","34566","34613",
"2023-02-06 17:05","34407","34584","34613",
"2023-02-06 17:10","34544","34628","34613",
"2023-02-06 17:15","34454","34700","34654",
"2023-02-06 17:20","34648","34783","34654",
"2023-02-06 17:25","34679","34862","34654",
"2023-02-06 17:30","34755","34936","34914",
"2023-02-06 17:35","34897","35025","34914",
"2023-02-06 17:40","34969","35148","34914",
"2023-02-06 17:45","35041","35304","35314",
"2023-02-06 17:50","35319","35438","35314",
"2023-02-06 17:55","35392","35495","35314",
"2023-02-06 18:00","35381","35474","35562",
"2023-02-06 18:05","35593","35469","35562",
"2023-02-06 18:10","35555","35574","35562",
"2023-02-06 18:15","35751","35788","35844",
"2023-02-06 18:20","35673","36047","35844",
"2023-02-06 18:25","35978","36286","35844",
"2023-02-06 18:30","36054","36505","36644",
"2023-02-06 18:35","36114","36721","36644",
"2023-02-06 18:40","36626","36953","36644",
"2023-02-06 18:45","36935","37199","37485",
"2023-02-06 18:50","37286","37437","37485",
"2023-02-06 18:55","37571","37643","37485",
"2023-02-06 19:00","37748","37817","38092",
"2023-02-06 19:05","37990","37976","38092",
"2023-02-06 19:10","38155","38139","38092",
"2023-02-06 19:15","38406","38306","38594",
"2023-02-06 19:20","38562","38471","38594",
"2023-02-06 19:25","38756","38628","38594",
"2023-02-06 19:30","38699","38777","38855",
"2023-02-06 19:35","38778","38906","38855",
"2023-02-06 19:40","38804","39004","38855",
"2023-02-06 19:45","38876","39070","39118",
"2023-02-06 19:50","39130","39154","39118",
"2023-02-06 19:55","39192","39308","39118",
"2023-02-06 20:00","39388","39530","39523",
"2023-02-06 20:05","39286","39739","39523",
"2023-02-06 20:10","39530","39850","39523",
"2023-02-06 20:15","39282","39865","39476",
"2023-02-06 20:20","39523","39835","39476",
"2023-02-06 20:25","39474","39815","39476",
"2023-02-06 20:30","39466","39804","39559",
"2023-02-06 20:35","39440","39778","39559",
"2023-02-06 20:40","39490","39713","39559",
"2023-02-06 20:45","39568","39609","39611",
"2023-02-06 20:50","39630","39505","39611",
"2023-02-06 20:55","39669","39440","39611",
"2023-02-06 21:00","39423","39415","39200",
"2023-02-06 21:05","39276","39366","39200",
"2023-02-06 21:10","39187","39228","39200",
"2023-02-06 21:15","39061","39003","38541",
"2023-02-06 21:20","38766","38734","38541",
"2023-02-06 21:25","38518","38465","38541",
"2023-02-06 21:30","38338","38196","37841",
"2023-02-06 21:35","38115","37918","37841",
"2023-02-06 21:40","37952","37622","37841",
"2023-02-06 21:45","37481","37308","36921",
"2023-02-06 21:50","37208","36983","36921",
"2023-02-06 21:55","36838","36654","36921",
"2023-02-06 22:00","36161","36321","35569",
"2023-02-06 22:05","35743","35985","35569",
"2023-02-06 22:10","35548","35644","35569",
"2023-02-06 22:15","35221","35299","34790",
"2023-02-06 22:20","34938","34950","34790",
"2023-02-06 22:25","34685","34600","34790",
"2023-02-06 22:30","34552","34248","33820",
"2023-02-06 22:35","34154","33902","33820",
"2023-02-06 22:40","33786","33571","33820",
