Emisiones (t CO2 eq / MWh)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-01-19 21:00","0","0","291","1365","0","0","0","0","0","216","214","191","0","431",
"2023-01-19 21:05","0","0","290","1444","0","0","0","0","0","214","221","191","0","423",
"2023-01-19 21:10","0","0","285","1511","0","0","0","0","0","214","214","191","0","427",
"2023-01-19 21:15","0","0","274","1555","0","0","0","0","0","216","218","191","0","419",
"2023-01-19 21:20","0","0","271","1536","0","0","0","0","0","214","223","191","0","416",
"2023-01-19 21:25","0","0","274","1508","0","0","0","0","0","215","209","191","0","421",
"2023-01-19 21:30","0","0","274","1449","0","0","0","0","0","214","191","190","0","421",
"2023-01-19 21:35","0","0","274","1330","0","0","0","0","0","215","190","191","0","421",
"2023-01-19 21:40","0","0","273","1236","0","0","0","0","0","213","188","190","0","421",
"2023-01-19 21:45","0","0","273","1158","0","0","0","0","0","211","175","189","0","422",
"2023-01-19 21:50","0","0","273","1137","0","0","0","0","0","211","176","188","0","422",
"2023-01-19 21:55","0","0","273","1120","0","0","0","0","0","210","168","190","0","421",
"2023-01-19 22:00","0","0","273","1106","0","0","0","0","0","207","170","191","0","418",
"2023-01-19 22:05","0","0","273","1068","0","0","0","0","0","205","171","190","0","418",
"2023-01-19 22:10","0","0","273","1079","0","0","0","0","0","203","161","191","0","418",
"2023-01-19 22:15","0","0","271","1096","0","0","0","0","0","199","155","186","0","418",
"2023-01-19 22:20","0","0","272","1061","0","0","0","0","0","192","151","177","0","418",
"2023-01-19 22:25","0","0","273","1033","0","0","0","0","0","188","150","173","0","417",
"2023-01-19 22:30","0","0","273","976","0","0","0","0","0","188","149","167","0","414",
"2023-01-19 22:35","0","0","273","927","0","0","0","0","0","183","145","167","0","419",
"2023-01-19 22:40","0","0","273","863","0","0","0","0","0","185","147","167","0","416",
"2023-01-19 22:45","0","0","273","806","0","0","0","0","0","186","148","163","0","417",
"2023-01-19 22:50","0","0","273","789","0","0","0","0","0","182","147","157","0","418",
"2023-01-19 22:55","0","0","273","764","0","0","0","0","0","182","130","152","0","416",
"2023-01-19 23:00","0","0","273","747","0","0","0","0","0","180","133","148","0","417",
"2023-01-19 23:05","0","0","273","732","0","0","0","0","0","171","135","140","0","417",
"2023-01-19 23:10","0","0","273","723","0","0","0","0","0","171","120","132","0","416",
"2023-01-19 23:15","0","0","279","733","0","0","0","0","0","170","113","129","0","414",
"2023-01-19 23:20","0","0","282","699","0","0","0","0","0","170","110","130","0","415",
"2023-01-19 23:25","0","0","280","696","0","0","0","0","0","167","107","123","0","415",
"2023-01-19 23:30","0","0","279","688","0","0","0","0","0","163","105","115","0","416",
"2023-01-19 23:35","0","0","279","684","0","0","0","0","0","160","101","113","0","415",
"2023-01-19 23:40","0","0","279","683","0","0","0","0","0","158","101","113","0","417",
"2023-01-19 23:45","0","0","280","687","0","0","0","0","0","155","98","113","0","418",
"2023-01-19 23:50","0","0","281","704","0","0","0","0","0","154","99","111","0","416",
"2023-01-19 23:55","0","0","279","722","0","0","0","0","0","153","98","110","0","420",
"2023-01-20 00:00","0","0","279","747","0","0","0","0","0","153","105","110","0","427",
"2023-01-20 00:05","0","0","279","781","0","0","0","0","0","152","103","109","0","431",
"2023-01-20 00:10","0","0","292","869","0","0","0","0","0","147","106","110","0","431",
"2023-01-20 00:15","0","0","285","859","0","0","0","0","0","136","97","110","0","428",
"2023-01-20 00:20","0","0","280","812","0","0","0","0","0","135","100","109","0","430",
