Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2024-07-28 21:00","8587","6849","250","7314","4788","89","726","480","436","428","217","162","0","1948",
"2024-07-28 21:05","8515","6853","250","7150","5070","93","543","477","475","429","220","163","0","1972",
"2024-07-28 21:10","8517","6856","250","7174","5184","298","413","469","475","430","222","171","0","1984",
"2024-07-28 21:15","8532","6851","249","7058","5549","315","318","464","475","430","220","181","0","1949",
"2024-07-28 21:20","8510","6850","249","7235","5478","195","248","463","475","433","224","185","0","1987",
"2024-07-28 21:25","8514","6850","249","7275","5569","411","187","460","475","435","225","186","0","1987",
"2024-07-28 21:30","8566","6853","249","7260","5615","396","140","458","475","435","228","187","0","1984",
"2024-07-28 21:35","8586","6855","249","7538","5567","474","113","456","475","434","222","189","0","1985",
"2024-07-28 21:40","8567","6861","249","7706","5753","354","101","452","475","434","225","192","0","1981",
"2024-07-28 21:45","8522","6855","249","7892","5935","222","94","452","475","437","224","198","0","1982",
"2024-07-28 21:50","8473","6856","249","8044","5793","109","89","447","475","438","225","205","0","1984",
"2024-07-28 21:55","8445","6855","249","8058","5964","95","78","448","475","441","226","206","0","1987",
"2024-07-28 22:00","8351","6856","247","8045","6064","302","77","445","475","441","226","213","0","2005",
"2024-07-28 22:05","8320","6854","247","7970","6357","134","53","445","474","439","227","218","0","2018",
"2024-07-28 22:10","8376","6854","249","7745","6562","-156","53","445","474","440","222","229","0","2018",
"2024-07-28 22:15","8338","6861","249","7700","6402","-95","53","447","474","444","223","237","0","2018",
"2024-07-28 22:20","8321","6861","248","7698","6325","68","52","446","474","442","222","240","0","2012",
"2024-07-28 22:25","8355","6859","249","7734","6342","-48","53","446","474","441","218","245","0","2010",
"2024-07-28 22:30","8361","6861","247","7727","6238","16","52","445","474","437","221","251","0","2012",
"2024-07-28 22:35","8320","6856","247","7725","6208","-256","52","443","474","439","223","253","0","2013",
"2024-07-28 22:40","8258","6860","248","7646","6010","78","52","443","474","443","221","250","0","1979",
"2024-07-28 22:45","8113","6860","248","7647","6007","163","52","443","474","441","225","250","0","2020",
"2024-07-28 22:50","8061","6865","248","7572","6085","10","52","443","474","439","221","249","0","2020",
"2024-07-28 22:55","8060","6865","248","7558","5898","202","52","441","474","436","213","250","0","2023",
"2024-07-28 23:00","8057","6862","248","7685","5675","70","52","438","474","432","201","250","0","1989",
"2024-07-28 23:05","8017","6857","249","7648","5825","-253","52","437","475","427","197","249","0","2011",
"2024-07-28 23:10","8009","6860","249","7556","5775","-441","51","434","475","420","197","248","0","2024",
"2024-07-28 23:15","8012","6858","248","7411","5538","-210","48","432","472","413","198","239","0","2035",
"2024-07-28 23:20","7930","6861","248","7091","5659","-14","47","429","470","411","196","232","0","2034",
"2024-07-28 23:25","7850","6863","249","7057","5631","-105","48","418","470","404","198","227","0","2043",
"2024-07-28 23:30","7723","6858","247","7066","5622","-36","48","409","472","402","197","221","0","2038",
"2024-07-28 23:35","7640","6854","248","7032","5677","-23","48","408","472","395","183","214","0","2038",
"2024-07-28 23:40","7580","6862","248","6959","5533","-127","47","405","472","394","164","211","0","2004",
"2024-07-28 23:45","7557","6860","248","6917","5330","-38","47","402","472","393","165","210","0","2040",
"2024-07-28 23:50","7505","6861","248","6845","5223","-23","47","396","475","390","165","209","0","2046",
"2024-07-28 23:55","7505","6863","248","6801","5170","19","48","382","475","387","152","211","0","2058",
"2024-07-29 00:00","7518","6860","248","6911","5408","-618","47","368","475","368","142","208","0","2062",
"2024-07-29 00:05","7477","6857","248","6974","5633","-936","48","363","473","361","137","206","0","2048",
"2024-07-29 00:10","7424","6857","248","7264","5419","-1097","48","361","473","350","120","199","0","2045",
"2024-07-29 00:15","7407","6859","248","7405","5165","-779","48","360","465","340","104","192","0","2046",
"2024-07-29 00:20","7336","6857","248","7346","5027","-785","47","362","465","340","92","185","0","2041",
"2024-07-29 00:25","7320","6859","248","7271","4917","-941","47","360","465","340","89","179","0","2038",
"2024-07-29 00:30","7342","6861","248","7263","4743","-1041","47","358","470","340","89","176","0","2042",
"2024-07-29 00:35","7352","6863","248","7180","4701","-922","47","355","472","335","88","176","0","2046",
"2024-07-29 00:40","7279","6858","248","7110","4583","-869","47","349","472","334","88","171","0","2046",
"2024-07-29 00:45","7275","6864","248","7078","4512","-856","47","334","473","336","88","167","0","2050",
"2024-07-29 00:50","7213","6866","248","6816","4525","-668","47","330","473","334","88","161","0","2051",
"2024-07-29 00:55","7144","6862","248","6591","4518","-570","47","328","473","335","87","162","0","2051",
"2024-07-29 01:00","7063","6866","248","6586","4585","-801","47","327","473","335","88","162","0","2056",
"2024-07-29 01:05","6982","6861","248","6526","4713","-818","47","325","468","327","88","162","0","2016",
"2024-07-29 01:10","6887","6867","248","6424","4739","-843","47","324","468","327","88","160","0","2050",
"2024-07-29 01:15","6867","6864","248","6437","4516","-900","47","325","468","325","79","159","0","2045",
"2024-07-29 01:20","6891","6861","248","6552","4124","-841","47","327","468","322","68","157","0","2050",
"2024-07-29 01:25","6871","6864","248","6646","4131","-1004","47","320","468","320","62","154","0","2018",
"2024-07-29 01:30","6961","6864","248","6621","4015","-1048","47","310","468","321","53","152","0","2053",
"2024-07-29 01:35","7069","6867","248","6637","3761","-1071","47","309","468","327","43","149","0","2054",
"2024-07-29 01:40","7148","6865","248","6531","3535","-992","47","310","468","324","44","144","0","2057",
"2024-07-29 01:45","7215","6866","248","6519","3489","-955","47","309","468","322","43","141","0","2058",
"2024-07-29 01:50","7232","6864","248","6443","3339","-866","47","305","468","320","44","136","0","2059",
"2024-07-29 01:55","7275","6867","248","6240","3210","-705","48","301","468","318","43","133","0","2061",
"2024-07-29 02:00","7256","6867","248","6187","3230","-992","47","296","468","325","44","132","0","2060",
"2024-07-29 02:05","7234","6861","248","6299","3094","-998","47","292","473","321","43","132","0","2026",
"2024-07-29 02:10","7271","6868","248","6350","3001","-1030","47","276","473","318","44","132","0","2066",
"2024-07-29 02:15","7268","6859","248","6384","2899","-1108","47","275","473","316","43","131","0","2069",
"2024-07-29 02:20","7318","6866","248","6359","2811","-1062","47","275","473","316","44","127","0","2067",
"2024-07-29 02:25","7259","6865","248","6167","2591","-777","47","274","473","319","43","123","0","2072",
"2024-07-29 02:30","7241","6871","248","6236","2615","-933","44","275","473","317","44","122","0","2070",
"2024-07-29 02:35","7171","6868","248","6153","2631","-945","44","274","473","315","44","123","0","2072",
"2024-07-29 02:40","7154","6865","248","6079","2646","-863","44","274","473","316","43","122","0","2085",
"2024-07-29 02:45","7190","6865","248","5839","2560","-802","44","275","473","320","44","123","0","2082",
"2024-07-29 02:50","7201","6868","248","5719","2370","-605","44","275","473","321","44","123","0","2052",
"2024-07-29 02:55","7210","6867","248","5804","2376","-636","44","274","473","319","43","123","0","2093",
"2024-07-29 03:00","7164","6866","248","5692","2351","-576","44","275","473","321","43","122","0","2098",
"2024-07-29 03:05","7103","6867","248","5748","2205","-476","44","274","472","319","43","123","0","2102",
"2024-07-29 03:10","6934","6869","248","5864","2333","-537","44","275","472","318","44","123","0","2072",
"2024-07-29 03:15","6818","6870","248","5931","2456","-666","44","275","472","315","43","123","0","2105",
"2024-07-29 03:20","6671","6869","248","5977","2524","-643","44","275","472","311","43","123","0","2110",
