Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2022-12-20 21:00","35378","35186","35043",
"2022-12-20 21:05","35169","35233","35043",
"2022-12-20 21:10","35099","35161","35043",
"2022-12-20 21:15","35130","34970","34800",
"2022-12-20 21:20","35048","34727","34800",
"2022-12-20 21:25","34895","34499","34800",
"2022-12-20 21:30","34674","34285","34003",
"2022-12-20 21:35","34505","34068","34003",
"2022-12-20 21:40","34092","33831","34003",
"2022-12-20 21:45","33809","33573","33274",
"2022-12-20 21:50","33433","33310","33274",
"2022-12-20 21:55","33201","33055","33274",
"2022-12-20 22:00","32811","32809","32024",
"2022-12-20 22:05","32340","32560","32024",
"2022-12-20 22:10","32018","32297","32024",
"2022-12-20 22:15","31850","32019","31012",
"2022-12-20 22:20","31443","31735","31012",
"2022-12-20 22:25","31352","31451","31012",
"2022-12-20 22:30","31167","31167","30282",
"2022-12-20 22:35","30827","30891","30282",
"2022-12-20 22:40","30645","30628","30282",
"2022-12-20 22:45","30314","30379","29800",
"2022-12-20 22:50","30132","30117","29800",
"2022-12-20 22:55","29837","29815","29800",
"2022-12-20 23:00","29650","29474","29059",
"2022-12-20 23:05","29237","29145","29059",
"2022-12-20 23:10","28883","28876","29059",
"2022-12-20 23:15","28705","28669","28250",
"2022-12-20 23:20","28431","28490","28250",
"2022-12-20 23:25","28310","28306","28250",
"2022-12-20 23:30","28070","28116","27176",
"2022-12-20 23:35","27795","27928","27176",
"2022-12-20 23:40","27485","27752","27176",
"2022-12-20 23:45","27182","27586","26956",
"2022-12-20 23:50","27026","27425","26956",
"2022-12-20 23:55","26833","27263","26956",
"2022-12-21 00:00","26520","27100","26569",
"2022-12-21 00:05","26662","26937","26569",
"2022-12-21 00:10","26559","26776","26569",
"2022-12-21 00:15","26398","26616","26267",
"2022-12-21 00:20","26486","26456","26267",
"2022-12-21 00:25","26212","26294","26267",
"2022-12-21 00:30","26071","26132","25867",
"2022-12-21 00:35","25827","25974","25867",
"2022-12-21 00:40","25647","25826","25867",
"2022-12-21 00:45","25575","25689","25268",
"2022-12-21 00:50","25201","25543","25268",
"2022-12-21 00:55","25212","25369","25268",
"2022-12-21 01:00","25105","25166","24850",
"2022-12-21 01:05","24854","24968","24850",
"2022-12-21 01:10","24754","24808","24850",
"2022-12-21 01:15","24748","24686","24550",
"2022-12-21 01:20","24648","24580","24550",
"2022-12-21 01:25","24380","24466","24550",
"2022-12-21 01:30","24062","24346","24090",
"2022-12-21 01:35","23975","24231","24090",
"2022-12-21 01:40","24026","24132","24090",
"2022-12-21 01:45","23980","24050","23689",
"2022-12-21 01:50","23827","23960","23689",
"2022-12-21 01:55","23656","23834","23689",
"2022-12-21 02:00","23539","23674","23557",
"2022-12-21 02:05","23465","23519","23557",
"2022-12-21 02:10","23449","23409","23557",
"2022-12-21 02:15","23130","23345","23056",
"2022-12-21 02:20","23078","23300","23056",
"2022-12-21 02:25","23150","23246","23056",
"2022-12-21 02:30","23097","23184","22942",
"2022-12-21 02:35","22966","23123","22942",
"2022-12-21 02:40","22901","23076","22942",
"2022-12-21 02:45","22928","23042","22860",
"2022-12-21 02:50","22867","23004","22860",
"2022-12-21 02:55","22902","22945","22860",
"2022-12-21 03:00","22631","22863","22742",
"2022-12-21 03:05","22618","22785","22742",
"2022-12-21 03:10","22596","22733","22742",
"2022-12-21 03:15","22584","22707","22621",
"2022-12-21 03:20","22765","22692","22621",
"2022-12-21 03:25","22745","22672","22621",
"2022-12-21 03:30","22526","22647","22520",
"2022-12-21 03:35","22628","22625","22520",
"2022-12-21 03:40","22530","22614","22520",
"2022-12-21 03:45","22303","22615","22410",
"2022-12-21 03:50","22323","22610","22410",
"2022-12-21 03:55","22391","22582","22410",
"2022-12-21 04:00","22417","22530","22399",
"2022-12-21 04:05","22413","22479","22399",
"2022-12-21 04:10","22432","22455","22399",
"2022-12-21 04:15","22337","22456","22409",
"2022-12-21 04:20","22364","22467","22409",
"2022-12-21 04:25","22427","22471","22409",
"2022-12-21 04:30","22298","22469","22409",
"2022-12-21 04:35","22333","22479","22409",
"2022-12-21 04:40","22298","22521","22409",
"2022-12-21 04:45","22365","22595","22539",
"2022-12-21 04:50","22476","22648","22539",
"2022-12-21 04:55","22548","22624","22539",
"2022-12-21 05:00","22371","22524","22641",
"2022-12-21 05:05","22695","22440","22641",
"2022-12-21 05:10","22730","22463","22641",
"2022-12-21 05:15","22740","22595","23141",
"2022-12-21 05:20","23012","22771","23141",
"2022-12-21 05:25","23170","22930","23141",
"2022-12-21 05:30","23120","23071","23379",
"2022-12-21 05:35","23200","23228","23379",
"2022-12-21 05:40","23422","23433","23379",
"2022-12-21 05:45","23482","23687","23839",
"2022-12-21 05:50","23758","23920","23839",
"2022-12-21 05:55","23743","24063","23839",
"2022-12-21 06:00","23954","24115","24852",
"2022-12-21 06:05","24690","24187","24852",
"2022-12-21 06:10","25182","24387","24852",
"2022-12-21 06:15","25461","24716","25652",
"2022-12-21 06:20","25659","25104","25652",
"2022-12-21 06:25","25750","25481","25652",
"2022-12-21 06:30","26130","25846","26753",
