Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-07-03 21:00","34238","34305","34031",
"2023-07-03 21:05","34293","34187","34031",
"2023-07-03 21:10","34010","34124","34031",
"2023-07-03 21:15","34125","34115","34131",
"2023-07-03 21:20","34188","34126","34131",
"2023-07-03 21:25","34017","34122","34131",
"2023-07-03 21:30","33919","34103","33931",
"2023-07-03 21:35","33872","34064","33931",
"2023-07-03 21:40","33952","34002","33931",
"2023-07-03 21:45","33893","33916","33901",
"2023-07-03 21:50","33932","33849","33901",
"2023-07-03 21:55","33853","33845","33901",
"2023-07-03 22:00","33803","33904","33654",
"2023-07-03 22:05","33700","33942","33654",
"2023-07-03 22:10","33765","33874","33654",
"2023-07-03 22:15","33712","33700","33434",
"2023-07-03 22:20","33571","33477","33434",
"2023-07-03 22:25","33519","33264","33434",
"2023-07-03 22:30","33270","33060","32914",
"2023-07-03 22:35","33031","32863","32914",
"2023-07-03 22:40","32851","32668","32914",
"2023-07-03 22:45","32642","32476","32514",
"2023-07-03 22:50","32496","32260","32514",
"2023-07-03 22:55","32315","31993","32514",
"2023-07-03 23:00","32129","31674","31309",
"2023-07-03 23:05","31684","31368","31309",
"2023-07-03 23:10","31588","31137","31309",
"2023-07-03 23:15","31440","30982","30859",
"2023-07-03 23:20","31318","30860","30859",
"2023-07-03 23:25","31013","30729","30859",
"2023-07-03 23:30","30835","30588","30359",
"2023-07-03 23:35","30785","30443","30359",
"2023-07-03 23:40","30460","30297","30359",
"2023-07-03 23:45","30009","30151","30009",
"2023-07-03 23:50","30050","30021","30009",
"2023-07-03 23:55","29900","29923","30009",
"2023-07-04 00:00","29521","29858","29472",
"2023-07-04 00:05","29774","29787","29472",
"2023-07-04 00:10","29681","29676","29472",
"2023-07-04 00:15","29612","29523","28872",
"2023-07-04 00:20","29549","29353","28872",
"2023-07-04 00:25","29295","29192","28872",
"2023-07-04 00:30","29002","29041","28542",
"2023-07-04 00:35","28893","28892","28542",
"2023-07-04 00:40","28801","28741","28542",
"2023-07-04 00:45","28630","28587","28393",
"2023-07-04 00:50","28517","28434","28393",
"2023-07-04 00:55","28240","28284","28393",
"2023-07-04 01:00","28028","28136","27909",
"2023-07-04 01:05","28038","27991","27909",
"2023-07-04 01:10","27951","27848","27909",
"2023-07-04 01:15","27772","27707","27484",
"2023-07-04 01:20","27596","27567","27484",
"2023-07-04 01:25","27442","27429","27484",
"2023-07-04 01:30","27058","27293","27174",
"2023-07-04 01:35","27094","27164","27174",
"2023-07-04 01:40","26972","27049","27174",
"2023-07-04 01:45","26833","26947","26944",
"2023-07-04 01:50","26872","26837","26944",
"2023-07-04 01:55","26751","26697","26944",
"2023-07-04 02:00","26456","26528","26335",
"2023-07-04 02:05","26439","26365","26335",
"2023-07-04 02:10","26549","26241","26335",
"2023-07-04 02:15","26390","26157","26055",
"2023-07-04 02:20","26209","26090","26055",
"2023-07-04 02:25","26171","26016","26055",
"2023-07-04 02:30","26044","25936","25955",
"2023-07-04 02:35","25969","25856","25955",
"2023-07-04 02:40","26009","25783","25955",
"2023-07-04 02:45","25795","25718","25805",
"2023-07-04 02:50","25751","25656","25805",
"2023-07-04 02:55","25858","25592","25805",
"2023-07-04 03:00","25662","25527","25637",
"2023-07-04 03:05","25669","25464","25637",
"2023-07-04 03:10","25541","25409","25637",
"2023-07-04 03:15","25500","25361","25304",
"2023-07-04 03:20","25434","25319","25304",
"2023-07-04 03:25","25550","25280","25304",
"2023-07-04 03:30","25347","25245","25209",
"2023-07-04 03:35","25508","25210","25209",
"2023-07-04 03:40","25408","25171","25209",
"2023-07-04 03:45","25145","25127","25182",
"2023-07-04 03:50","25167","25095","25182",
"2023-07-04 03:55","25121","25089","25182",
"2023-07-04 04:00","25169","25109","25257",
"2023-07-04 04:05","25183","25128","25257",
"2023-07-04 04:10","25210","25121","25257",
"2023-07-04 04:15","25117","25087","25157",
"2023-07-04 04:20","25103","25043","25157",
"2023-07-04 04:25","25115","25006","25157",
"2023-07-04 04:30","24972","24975","25007",
"2023-07-04 04:35","25206","24959","25007",
"2023-07-04 04:40","25070","24962","25007",
"2023-07-04 04:45","24979","24984","25007",
"2023-07-04 04:50","25058","24993","25007",
"2023-07-04 04:55","25023","24953","25007",
"2023-07-04 05:00","25189","24864","25166",
"2023-07-04 05:05","25146","24791","25166",
"2023-07-04 05:10","25251","24799","25166",
"2023-07-04 05:15","25290","24886","25166",
"2023-07-04 05:20","25318","25010","25166",
"2023-07-04 05:25","25208","25125","25166",
"2023-07-04 05:30","24971","25233","25466",
"2023-07-04 05:35","25286","25345","25466",
"2023-07-04 05:40","25496","25473","25466",
"2023-07-04 05:45","25449","25618","25716",
"2023-07-04 05:50","25610","25768","25716",
"2023-07-04 05:55","25667","25912","25716",
"2023-07-04 06:00","25962","26050","26750",
"2023-07-04 06:05","26576","26193","26750",
"2023-07-04 06:10","26835","26352","26750",
"2023-07-04 06:15","26947","26526","27310",
"2023-07-04 06:20","27057","26709","27310",
"2023-07-04 06:25","27076","26893","27310",
"2023-07-04 06:30","27336","27078","27560",
"2023-07-04 06:35","27495","27262","27560",
"2023-07-04 06:40","27570","27444","27560",
"2023-07-04 06:45","27781","27623","27860",
"2023-07-04 06:50","27805","27809","27860",
"2023-07-04 06:55","27895","28012","27860",
