Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2024-09-06 21:00","4967","6936","247","9802","7370","-365","92","737","467","425","214","218","0","2041",
"2024-09-06 21:05","4932","6929","250","9952","7266","-320","70","700","502","426","211","221","0","2053",
"2024-09-06 21:10","4898","6938","255","9980","7231","-95","69","673","502","424","215","222","0","2055",
"2024-09-06 21:15","4866","6937","253","9885","7287","-135","69","651","502","430","214","226","0","2053",
"2024-09-06 21:20","4866","6936","253","9970","7593","-387","69","643","502","430","212","227","0","2060",
"2024-09-06 21:25","4895","6938","254","9974","7577","-778","69","635","502","436","208","228","0","2050",
"2024-09-06 21:30","4915","6937","254","9945","7503","-1013","68","632","502","433","213","229","0","2045",
"2024-09-06 21:35","4917","6936","256","9907","7010","-759","73","627","502","432","210","234","0","2047",
"2024-09-06 21:40","4882","6933","254","9888","6952","-532","66","627","502","432","211","238","0","2046",
"2024-09-06 21:45","4898","6940","254","9838","6927","-837","66","609","502","434","211","243","0","2047",
"2024-09-06 21:50","4871","6936","256","9767","6682","-619","66","620","502","433","204","244","0","2050",
"2024-09-06 21:55","4902","6940","256","9699","6477","-612","64","620","502","435","203","244","0","2051",
"2024-09-06 22:00","4948","6942","256","9746","6298","-1044","64","619","502","432","216","243","0","2047",
"2024-09-06 22:05","4937","6930","256","9849","6472","-1229","63","618","502","432","215","242","0","2042",
"2024-09-06 22:10","4871","6931","256","9701","6664","-1422","63","618","502","433","213","242","0","2043",
"2024-09-06 22:15","4739","6931","256","9471","6726","-1456","59","619","502","428","213","243","0","2045",
"2024-09-06 22:20","4572","6934","256","9284","6604","-1248","59","617","502","430","211","242","0","2047",
"2024-09-06 22:25","4462","6935","256","9121","6738","-1292","59","616","502","428","212","243","0","2044",
"2024-09-06 22:30","4471","6936","256","9056","6621","-1362","59","614","502","425","197","243","0","2037",
"2024-09-06 22:35","4463","6931","253","8898","6621","-1535","59","614","502","429","189","243","0","2032",
"2024-09-06 22:40","4428","6931","256","8705","6619","-1382","59","614","502","426","188","243","0","2029",
"2024-09-06 22:45","4445","6938","254","8646","6566","-1356","59","613","502","426","186","244","0","2035",
"2024-09-06 22:50","4449","6941","253","8607","6564","-1504","59","613","502","427","175","243","0","2037",
"2024-09-06 22:55","4460","6936","253","8563","6365","-1514","59","614","502","424","159","242","0","2033",
"2024-09-06 23:00","4380","6939","253","8510","6099","-1286","59","614","502","423","151","243","0","2041",
"2024-09-06 23:05","4271","6934","253","7916","6022","-732","59","613","506","420","148","239","0","2041",
"2024-09-06 23:10","4264","6935","253","7650","6428","-905","59","611","506","414","148","232","0","2031",
"2024-09-06 23:15","4244","6937","253","7496","6271","-1076","59","611","506","408","123","225","0","2035",
"2024-09-06 23:20","4204","6934","253","7376","6356","-1231","59","612","506","409","123","217","0","2031",
"2024-09-06 23:25","4191","6941","253","7303","5918","-873","59","611","506","408","121","216","0","2032",
"2024-09-06 23:30","4172","6932","253","7309","5857","-846","59","611","506","405","101","212","0","2031",
"2024-09-06 23:35","4137","6929","254","7400","5281","-496","59","610","506","401","89","208","0","2031",
"2024-09-06 23:40","4139","6934","254","7548","5285","-795","59","609","506","408","81","197","0","2035",
"2024-09-06 23:45","4078","6939","254","7698","5284","-1050","59","595","506","408","74","187","0","2035",
"2024-09-06 23:50","4082","6937","255","7719","5285","-1144","59","611","506","407","74","179","0","2038",
"2024-09-06 23:55","4047","6933","254","7514","5121","-974","59","610","506","409","74","170","0","2040",
"2024-09-07 00:00","4062","6933","255","7219","4797","-480","59","611","506","404","73","162","0","2025",
"2024-09-07 00:05","3993","6929","255","6666","4950","-56","55","611","469","402","75","155","0","2036",
"2024-09-07 00:10","4041","6935","257","5887","5082","552","55","611","469","403","71","148","0","2038",
"2024-09-07 00:15","4079","6933","255","5436","5270","666","55","610","469","397","70","141","0","2034",
"2024-09-07 00:20","4011","6934","257","5235","5575","542","55","610","469","391","69","136","0","2030",
"2024-09-07 00:25","4053","6936","256","5100","5521","607","55","610","469","386","69","132","0","2027",
"2024-09-07 00:30","4084","6936","256","5080","5436","625","55","609","469","385","68","128","0","2030",
"2024-09-07 00:35","4078","6935","256","5116","5423","551","55","610","469","383","66","127","0","2029",
"2024-09-07 00:40","4102","6930","256","5099","5308","703","55","610","469","379","65","122","0","2030",
"2024-09-07 00:45","4131","6933","256","5067","5221","483","55","610","469","379","64","119","0","2014",
"2024-09-07 00:50","4109","6934","254","5084","5166","501","55","610","469","378","60","117","0","2033",
"2024-09-07 00:55","4140","6936","256","5047","5031","520","55","610","469","375","60","115","0","2038",
"2024-09-07 01:00","4163","6934","256","5008","4841","527","55","609","469","369","61","112","0","2041",
"2024-09-07 01:05","4209","6932","271","4676","4886","704","55","608","475","364","62","109","0","2032",
"2024-09-07 01:10","4212","6935","284","4427","4910","884","55","605","475","362","61","107","0","2031",
"2024-09-07 01:15","4271","6935","286","4294","4836","985","55","605","475","348","59","105","0","2027",
"2024-09-07 01:20","4286","6933","286","4280","4744","1012","55","603","475","336","63","102","0","2036",
"2024-09-07 01:25","4265","6937","286","4229","4647","710","55","598","475","334","64","99","0","2036",
"2024-09-07 01:30","4265","6936","285","4165","4630","825","55","594","475","324","62","93","0","2037",
"2024-09-07 01:35","4269","6931","286","4051","4695","961","55","583","475","322","61","93","0","2039",
"2024-09-07 01:40","4276","6932","284","4064","4472","1033","55","579","475","317","62","93","0","2040",
"2024-09-07 01:45","4263","6937","286","4058","4446","1072","55","579","475","318","61","93","0","2036",
"2024-09-07 01:50","4240","6930","288","4128","4214","1209","55","579","475","316","45","92","0","2030",
"2024-09-07 01:55","4187","6933","285","4210","4427","806","55","579","475","315","46","93","0","2033",
"2024-09-07 02:00","4183","6929","285","4160","4235","749","55","579","475","314","45","92","0","2040",
"2024-09-07 02:05","4152","6935","261","4278","4200","750","55","579","473","314","45","92","0","2039",
"2024-09-07 02:10","4107","6927","247","4411","4178","738","55","576","473","313","45","92","0","2051",
"2024-09-07 02:15","4048","6936","249","4409","4182","563","55","575","473","312","44","92","0","2053",
"2024-09-07 02:20","3994","6933","249","4344","4248","637","55","574","473","310","45","92","0","2060",
"2024-09-07 02:25","3967","6929","247","4323","4174","668","55","575","473","309","45","92","0","2062",
"2024-09-07 02:30","3992","6938","250","4296","4029","442","55","573","473","308","47","92","0","2068",
"2024-09-07 02:35","3995","6931","250","4294","4019","615","55","573","473","308","46","93","0","2066",
"2024-09-07 02:40","4031","6936","248","4204","3685","710","55","575","473","308","46","92","0","2016",
"2024-09-07 02:45","4071","6930","248","4151","3589","758","55","575","473","306","46","93","0","2047",
"2024-09-07 02:50","4076","6937","248","4141","3431","734","55","574","473","304","45","92","0","2046",
"2024-09-07 02:55","4111","6933","248","4147","3423","750","55","570","473","305","44","92","0","2048",
"2024-09-07 03:00","4140","6933","248","4122","3476","737","55","566","473","305","35","93","0","2010",
"2024-09-07 03:05","4110","6930","252","4107","3569","636","55","560","481","303","34","93","0","2048",
"2024-09-07 03:10","4013","6934","251","4103","3702","655","55","547","481","301","34","93","0","2050",
"2024-09-07 03:15","3959","6929","249","4062","3759","642","55","551","481","303","34","93","0","2051",
"2024-09-07 03:20","3923","6930","250","3991","3818","726","55","538","481","299","34","93","0","2054",
"2024-09-07 03:25","3863","6928","250","4038","3925","559","55","534","481","300","35","93","0","2044",
"2024-09-07 03:30","3792","6931","252","4028","3857","442","55","534","481","298","34","93","0","2053",
"2024-09-07 03:35","3742","6935","250","3966","3790","685","55","533","481","300","34","93","0","2054",
"2024-09-07 03:40","3665","6933","251","3895","3792","745","55","533","481","298","34","93","0","2058",
"2024-09-07 03:45","3635","6936","251","3871","3687","563","55","523","481","294","34","93","0","2058",
"2024-09-07 03:50","3581","6930","250","3868","3711","698","55","512","481","291","34","93","0","2055",
"2024-09-07 03:55","3542","6931","251","3914","3772","676","55","500","481","291","34","92","0","2053",
"2024-09-07 04:00","3507","6938","251","3944","3786","785","55","493","481","292","35","93","0","2052",
"2024-09-07 04:05","3481","6933","249","3966","4077","354","55","486","463","291","34","93","0","2020",
"2024-09-07 04:10","3511","6937","251","3861","4158","300","55","483","463","294","34","93","0","2059",
"2024-09-07 04:15","3496","6933","250","3797","4079","524","55","469","463","293","33","93","0","2063",
"2024-09-07 04:20","3483","6930","250","3838","4136","564","55","461","463","291","33","93","0","2068",
"2024-09-07 04:25","3506","6934","250","3886","4214","369","55","451","463","289","33","93","0","2026",
"2024-09-07 04:30","3535","6933","250","3861","4093","174","55","451","463","290","34","93","0","2064",
"2024-09-07 04:35","3534","6937","250","3841","3988","316","55","445","463","289","34","94","0","2065",
"2024-09-07 04:40","3570","6932","250","3844","4009","525","55","433","463","288","33","93","0","2067",
"2024-09-07 04:45","3540","6936","250","3856","4000","466","55","411","463","285","34","93","0","2066",
"2024-09-07 04:50","3566","6939","250","3855","4011","561","55","398","463","284","34","93","0","2065",
"2024-09-07 04:55","3601","6938","250","3856","4008","373","55","381","463","284","34","93","0","2067",
"2024-09-07 05:00","3633","6933","250","3832","4045","406","55","375","463","282","33","93","0","2062",
"2024-09-07 05:05","3660","6936","250","3693","4099","380","55","368","451","282","33","93","0","2064",
"2024-09-07 05:10","3653","6933","250","3537","4186","509","55","352","451","280","33","93","0","2065",
"2024-09-07 05:15","3654","6935","247","3491","4118","390","55","342","451","275","33","93","0","2055",
"2024-09-07 05:20","3682","6939","249","3490","4139","461","55","338","451","272","32","93","0","2058",
"2024-09-07 05:25","3695","6940","251","3562","4347","464","55","336","451","277","33","93","0","2060",
"2024-09-07 05:30","3730","6941","249","3573","4255","232","55","332","451","275","34","93","0","2051",
"2024-09-07 05:35","3804","6937","252","3574","4136","150","55","328","451","277","34","93","0","2061",
"2024-09-07 05:40","3784","6939","249","3573","4024","132","55","326","451","279","33","93","0","2071",
"2024-09-07 05:45","3799","6937","249","3604","4025","326","55","316","451","276","33","94","0","2058",
"2024-09-07 05:50","3818","6934","249","3601","4016","419","55","311","451","278","34","94","0","2074",
"2024-09-07 05:55","3804","6940","249","3629","4073","304","55","311","451","279","38","93","0","2071",
"2024-09-07 06:00","3814","6946","249","3681","3987","44","55","309","451","279","43","93","0","2042",
"2024-09-07 06:05","3860","6938","249","3903","3987","200","55","298","480","279","46","93","0","2045",
"2024-09-07 06:10","3892","6934","249","3989","3894","455","55","269","480","281","43","93","0","2045",
"2024-09-07 06:15","3919","6929","249","4078","4024","231","55","255","480","278","43","93","0","2045",
"2024-09-07 06:20","3927","6931","249","4092","4003","112","55","214","480","282","42","94","0","2039",
"2024-09-07 06:25","3951","6934","249","4151","3969","358","55","194","480","283","42","93","0","2028",
"2024-09-07 06:30","4030","6944","249","4223","3905","294","55","153","480","283","42","93","0","1998",
"2024-09-07 06:35","4090","6936","250","4315","3775","472","55","155","480","285","42","93","0","2033",
"2024-09-07 06:40","4175","6942","250","4314","3708","428","55","140","480","286","42","93","0","2030",
"2024-09-07 06:45","4242","6942","248","4345","3727","288","55","135","476","287","42","93","0","2036",
"2024-09-07 06:50","4270","6940","250","4332","3783","422","55","136","475","284","42","94","0","2036",
"2024-09-07 06:55","4293","6935","250","4361","3775","352","55","135","475","284","42","93","0","2036",
"2024-09-07 07:00","4309","6944","250","4321","3845","364","55","135","475","284","42","93","0","2040",
"2024-09-07 07:05","4286","6941","250","4292","4039","706","55","135","478","290","42","93","0","2046",
"2024-09-07 07:10","4315","6944","250","4364","3879","614","55","132","478","295","42","93","0","2043",
"2024-09-07 07:15","4340","6942","250","4381","3814","715","55","130","478","292","42","93","0","2042",
"2024-09-07 07:20","4388","6946","249","4444","3801","709","59","123","478","292","42","93","0","2044",
"2024-09-07 07:25","4419","6942","252","4498","3651","864","59","115","478","292","42","93","0","2047",
"2024-09-07 07:30","4416","6941","249","4546","3667","853","60","107","478","291","42","93","0","2047",
"2024-09-07 07:35","4438","6948","249","4611","3632","779","61","95","478","295","43","95","0","2017",
"2024-09-07 07:40","4428","6949","250","4581","3433","629","66","81","478","299","42","98","0","2049",
"2024-09-07 07:45","4417","6948","250","4550","3340","689","84","64","478","295","42","98","0","2043",
"2024-09-07 07:50","4429","6948","252","4486","3425","647","161","57","478","304","42","98","0","2048",
"2024-09-07 07:55","4468","6949","250","4469","3475","720","220","47","478","306","42","98","0","2021",
"2024-09-07 08:00","4525","6946","248","4502","3515","507","304","41","478","309","41","98","0","2054",
"2024-09-07 08:05","4525","6948","263","4504","3738","313","519","36","432","316","47","98","0","2033",
"2024-09-07 08:10","4534","6947","284","4498","3731","282","749","36","432","318","49","98","0","2055",
"2024-09-07 08:15","4514","6948","286","4467","3605","140","1048","36","432","318","57","98","0","2052",
"2024-09-07 08:20","4477","6950","285","4328","3303","322","1418","36","432","321","57","98","0","2047",
"2024-09-07 08:25","4437","6947","284","4110","2873","467","1843","35","432","324","58","99","0","2040",
"2024-09-07 08:30","4379","6957","284","3950","2640","474","2319","35","432","322","57","106","0","2038",
"2024-09-07 08:35","4350","6951","284","3571","2628","585","2878","35","432","323","58","107","0","2037",
"2024-09-07 08:40","4319","6949","285","3480","2645","322","3493","36","432","324","59","108","0","2004",
"2024-09-07 08:45","4257","6953","284","3353","2368","99","4057","37","432","327","62","108","0","2030",
"2024-09-07 08:50","4208","6948","284","3161","2112","-45","4685","40","432","329","63","110","0","2029",
"2024-09-07 08:55","4218","6951","284","2889","1883","56","5226","38","432","329","72","110","0","2019",
"2024-09-07 09:00","4213","6945","267","2941","1994","-752","5938","39","432","330","80","108","0","1958",
"2024-09-07 09:05","4190","6952","249","2679","2597","-1645","6935","43","432","332","88","108","0","1946",
"2024-09-07 09:10","4114","6947","249","2356","2719","-2129","7745","54","432","335","94","107","0","1928",
"2024-09-07 09:15","4086","6950","249","2149","2644","-2149","8357","62","432","341","96","107","0","1909",
"2024-09-07 09:20","4011","6949","249","2035","2024","-2131","9243","84","432","340","94","108","0","1906",
"2024-09-07 09:25","3912","6949","249","1925","1809","-2283","9905","108","432","341","98","114","0","1902",
"2024-09-07 09:30","3839","6949","249","1934","1523","-2597","10470","148","432","343","95","121","0","1903",
"2024-09-07 09:35","3725","6947","248","1895","1025","-2182","10923","207","432","350","93","124","0","1895",
"2024-09-07 09:40","3653","6953","249","1837","861","-2320","11362","272","432","352","95","123","0","1890",
"2024-09-07 09:45","3614","6948","249","1718","662","-2454","11698","352","432","351","95","127","0","1887",
"2024-09-07 09:50","3635","6945","249","1680","379","-2382","12005","462","432","352","96","130","0","1883",
"2024-09-07 09:55","3662","6948","249","1639","171","-2717","12378","596","432","351","94","132","0","1868",
"2024-09-07 10:00","3724","6942","251","1636","-113","-3086","12878","742","432","351","93","134","0","1809",
"2024-09-07 10:05","3788","6943","249","1683","-47","-4022","13828","870","429","354","93","136","0","1710",
"2024-09-07 10:10","3749","6950","251","1734","-45","-4162","14302","970","429","360","95","137","0","1671",
"2024-09-07 10:15","3806","6949","250","1790","-297","-4431","14554","1070","429","359","93","138","0","1645",
"2024-09-07 10:20","3849","6949","250","1774","-559","-4388","14894","1148","429","362","93","138","0","1614",
"2024-09-07 10:25","3882","6957","250","1732","-762","-4433","15008","1215","429","363","88","138","0","1583",
"2024-09-07 10:30","3948","6950","250","1723","-1002","-4613","15218","1265","429","362","86","138","0","1595",
"2024-09-07 10:35","3840","6951","250","1672","-1211","-4394","15319","1316","429","363","79","138","0","1603",
"2024-09-07 10:40","3871","6953","250","1607","-1502","-4190","15584","1356","429","356","79","139","0","1605",
"2024-09-07 10:45","3916","6957","250","1545","-1522","-4423","15683","1389","429","364","79","142","0","1572",
"2024-09-07 10:50","3630","6952","250","1514","-1644","-4163","15823","1433","429","367","78","144","0","1598",
"2024-09-07 10:55","3656","6954","252","1584","-1637","-4144","15936","1476","429","369","80","144","0","1570",
"2024-09-07 11:00","3712","6952","251","1600","-1439","-4834","16263","1503","429","365","77","144","0","1504",
"2024-09-07 11:05","3554","6952","249","1551","-1409","-4676","16726","1528","437","363","79","144","0","1434",
"2024-09-07 11:10","3956","6960","249","1533","-1550","-5192","16907","1544","437","363","78","141","0","1437",
"2024-09-07 11:15","3998","6967","251","1507","-1545","-5532","17109","1552","437","363","78","140","0","1430",
"2024-09-07 11:20","4022","6966","251","1443","-1755","-5558","17383","1556","437","367","78","140","0","1389",
"2024-09-07 11:25","4054","6968","250","1412","-1790","-5567","17485","1561","437","364","78","140","0","1415",
"2024-09-07 11:30","4074","6966","250","1408","-1818","-5572","17300","1565","437","361","78","138","0","1382",
"2024-09-07 11:35","4116","6972","251","1399","-1812","-5466","17155","1568","437","356","77","134","0","1415",
"2024-09-07 11:40","4126","6976","250","1397","-1824","-5384","17131","1573","437","358","79","132","0","1415",
"2024-09-07 11:45","4222","6977","250","1397","-1899","-5147","17258","1581","437","357","78","132","0","1410",
"2024-09-07 11:50","4222","6979","250","1400","-1947","-5412","17344","1585","437","358","78","133","0","1411",
"2024-09-07 11:55","4314","6971","250","1392","-1961","-5511","17412","1589","437","356","78","134","0","1404",
"2024-09-07 12:00","4324","6975","250","1383","-2243","-5260","17401","1597","437","362","77","133","0","1405",
"2024-09-07 12:05","4284","6978","250","1381","-2277","-5512","17629","1595","386","361","76","132","0","1402",
"2024-09-07 12:10","4292","6978","250","1368","-2547","-5208","17750","1593","386","360","66","133","0","1389",
"2024-09-07 12:15","4320","6976","249","1361","-2538","-5443","17857","1602","386","353","62","132","0","1403",
"2024-09-07 12:20","4250","6970","249","1355","-2603","-5319","18008","1585","386","352","63","132","0","1401",
"2024-09-07 12:25","4283","6973","249","1339","-2627","-5299","17834","1563","386","347","64","133","0","1397",
"2024-09-07 12:30","4239","6976","250","1331","-2621","-5264","17888","1530","378","348","64","130","0","1363",
"2024-09-07 12:35","4360","6971","250","1344","-2620","-5279","17946","1524","386","342","64","126","0","1391",
"2024-09-07 12:40","4358","6982","250","1360","-2540","-5032","17934","1520","386","343","62","120","0","1396",
"2024-09-07 12:45","4372","6976","250","1386","-2540","-5243","18071","1518","386","346","64","117","0","1391",
"2024-09-07 12:50","4389","6972","250","1380","-2544","-5204","17993","1509","376","339","61","116","0","1390",
"2024-09-07 12:55","4353","6973","248","1359","-2555","-5147","18155","1498","376","339","64","115","0","1394",
"2024-09-07 13:00","4354","6971","250","1365","-2594","-4907","17708","1501","376","342","64","115","0","1396",
"2024-09-07 13:05","3682","6974","250","1373","-2709","-3806","17609","1518","387","340","66","115","0","1381",
"2024-09-07 13:10","3604","6977","250","1375","-2741","-3625","17576","1514","387","341","62","113","0","1390",
"2024-09-07 13:15","3656","6971","250","1376","-2808","-3772","17657","1504","387","341","63","112","0","1385",
"2024-09-07 13:20","3481","6977","250","1378","-2848","-3764","17892","1499","387","342","62","112","0","1392",
"2024-09-07 13:25","3466","6973","250","1395","-2842","-3706","17843","1486","387","335","63","112","0","1391",
"2024-09-07 13:30","3349","6972","250","1414","-2836","-3504","17761","1462","387","340","48","112","0","1397",
"2024-09-07 13:35","3419","6974","250","1402","-2836","-3514","17825","1403","387","341","48","112","0","1361",
"2024-09-07 13:40","3429","6969","250","1421","-2925","-3324","17834","1386","387","350","50","111","0","1387",
"2024-09-07 13:45","3387","6970","250","1411","-2919","-3161","17900","1366","387","344","48","109","0","1385",
"2024-09-07 13:50","3273","6971","251","1447","-2920","-3039","17908","1350","387","350","52","108","0","1385",
"2024-09-07 13:55","3355","6965","249","1449","-2974","-3136","17964","1335","387","351","48","107","0","1353",
"2024-09-07 14:00","3280","6972","250","1456","-2980","-3187","18043","1314","387","353","50","107","0","1381",
"2024-09-07 14:05","3321","6973","250","1425","-3000","-3372","18084","1281","386","350","48","106","0","1379",
"2024-09-07 14:10","3577","6969","250","1430","-3001","-3508","18067","1259","386","352","48","105","0","1379",
"2024-09-07 14:15","3596","6970","249","1434","-2975","-3583","18074","1249","386","348","47","106","0","1387",
