Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-06-30 21:00","32241","32366","32458",
"2023-06-30 21:05","32408","32415","32458",
"2023-06-30 21:10","32320","32423","32458",
"2023-06-30 21:15","32463","32390","32486",
"2023-06-30 21:20","32342","32343","32486",
"2023-06-30 21:25","32344","32307","32486",
"2023-06-30 21:30","32304","32284","32239",
"2023-06-30 21:35","32283","32250","32239",
"2023-06-30 21:40","32138","32184","32239",
"2023-06-30 21:45","32130","32087","32312",
"2023-06-30 21:50","32248","32014","32312",
"2023-06-30 21:55","32172","32022","32312",
"2023-06-30 22:00","31932","32112","31909",
"2023-06-30 22:05","31981","32187","31909",
"2023-06-30 22:10","32004","32151","31909",
"2023-06-30 22:15","31979","32002","31814",
"2023-06-30 22:20","31876","31805","31814",
"2023-06-30 22:25","31432","31623","31814",
"2023-06-30 22:30","31471","31455","31207",
"2023-06-30 22:35","31311","31295","31207",
"2023-06-30 22:40","31142","31136","31207",
"2023-06-30 22:45","30877","30978","31088",
"2023-06-30 22:50","30731","30796","31088",
"2023-06-30 22:55","30542","30564","31088",
"2023-06-30 23:00","30353","30282","29604",
"2023-06-30 23:05","30198","30007","29604",
"2023-06-30 23:10","30190","29797","29604",
"2023-06-30 23:15","29692","29652","29312",
"2023-06-30 23:20","29599","29532","29312",
"2023-06-30 23:25","29337","29398","29312",
"2023-06-30 23:30","29310","29250","28979",
"2023-06-30 23:35","29021","29102","28979",
"2023-06-30 23:40","28909","28965","28979",
"2023-06-30 23:45","28806","28841","28901",
"2023-06-30 23:50","28705","28712","28901",
"2023-06-30 23:55","28642","28565","28901",
"2023-07-01 00:00","28451","28398","28300",
"2023-07-01 00:05","28076","28229","28300",
"2023-07-01 00:10","28162","28077","28300",
"2023-07-01 00:15","28073","27941","28097",
"2023-07-01 00:20","28013","27813","28097",
"2023-07-01 00:25","28118","27683","28097",
"2023-07-01 00:30","27865","27551","27547",
"2023-07-01 00:35","27791","27417","27547",
"2023-07-01 00:40","27727","27278","27547",
"2023-07-01 00:45","27628","27136","27398",
"2023-07-01 00:50","27440","27004","27398",
"2023-07-01 00:55","27244","26897","27398",
"2023-07-01 01:00","27177","26815","26886",
"2023-07-01 01:05","26883","26734","26886",
"2023-07-01 01:10","26525","26629","26886",
"2023-07-01 01:15","26466","26502","26353",
"2023-07-01 01:20","26457","26366","26353",
"2023-07-01 01:25","26319","26240","26353",
"2023-07-01 01:30","25987","26121","26253",
"2023-07-01 01:35","26041","26006","26253",
"2023-07-01 01:40","26102","25890","26253",
"2023-07-01 01:45","26129","25771","25753",
"2023-07-01 01:50","25945","25657","25753",
"2023-07-01 01:55","25684","25554","25753",
"2023-07-01 02:00","25581","25462","25547",
"2023-07-01 02:05","25537","25375","25547",
"2023-07-01 02:10","25408","25287","25547",
"2023-07-01 02:15","25313","25198","25305",
"2023-07-01 02:20","25167","25110","25305",
"2023-07-01 02:25","25201","25026","25305",
"2023-07-01 02:30","25109","24946","25106",
"2023-07-01 02:35","25064","24870","25106",
"2023-07-01 02:40","24919","24799","25106",
"2023-07-01 02:45","24808","24733","24845",
"2023-07-01 02:50","24837","24666","24845",
"2023-07-01 02:55","24637","24590","24845",
"2023-07-01 03:00","24472","24505","24715",
"2023-07-01 03:05","24536","24419","24715",
"2023-07-01 03:10","24561","24341","24715",
"2023-07-01 03:15","24504","24271","24386",
"2023-07-01 03:20","24472","24206","24386",
"2023-07-01 03:25","24448","24142","24386",
"2023-07-01 03:30","24340","24081","24225",
"2023-07-01 03:35","24388","24017","24225",
"2023-07-01 03:40","24348","23949","24225",
"2023-07-01 03:45","24292","23875","24184",
"2023-07-01 03:50","24283","23814","24184",
"2023-07-01 03:55","23965","23784","24184",
"2023-07-01 04:00","23742","23785","24149",
"2023-07-01 04:05","24018","23789","24149",
"2023-07-01 04:10","24019","23767","24149",
"2023-07-01 04:15","23890","23721","23848",
"2023-07-01 04:20","23894","23666","23848",
"2023-07-01 04:25","23837","23623","23848",
"2023-07-01 04:30","23834","23589","23853",
"2023-07-01 04:35","23772","23560","23853",
"2023-07-01 04:40","23822","23529","23853",
"2023-07-01 04:45","23740","23497","23747",
"2023-07-01 04:50","23821","23470","23747",
"2023-07-01 04:55","23747","23453","23747",
"2023-07-01 05:00","23436","23446","23740",
"2023-07-01 05:05","23693","23443","23740",
"2023-07-01 05:10","23518","23436","23740",
"2023-07-01 05:15","23521","23425","23700",
"2023-07-01 05:20","23211","23415","23700",
"2023-07-01 05:25","23498","23410","23700",
"2023-07-01 05:30","23420","23409","23350",
"2023-07-01 05:35","23523","23409","23350",
"2023-07-01 05:40","23548","23402","23350",
"2023-07-01 05:45","23162","23389","23340",
"2023-07-01 05:50","23260","23387","23340",
"2023-07-01 05:55","23324","23414","23340",
"2023-07-01 06:00","23232","23470","23603",
"2023-07-01 06:05","23453","23525","23603",
"2023-07-01 06:10","23485","23551","23603",
"2023-07-01 06:15","23321","23546","23682",
"2023-07-01 06:20","23548","23529","23682",
"2023-07-01 06:25","23508","23519","23682",
"2023-07-01 06:30","23485","23514","23374",
"2023-07-01 06:35","23521","23523","23374",
"2023-07-01 06:40","23202","23552","23374",
"2023-07-01 06:45","23158","23602","23365",
"2023-07-01 06:50","23214","23630","23365",
"2023-07-01 06:55","23469","23594","23365",
"2023-07-01 07:00","23308","23495","23832",
"2023-07-01 07:05","23306","23403","23832",
"2023-07-01 07:10","23370","23392","23832",
"2023-07-01 07:15","23652","23461","23763",
"2023-07-01 07:20","23719","23561","23763",
"2023-07-01 07:25","23676","23642","23763",
"2023-07-01 07:30","23704","23703","23454",
