Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2022-11-28 21:00","10921","6445","831","7551","6672","-1002","9","123","566","329","86","172","0","2179",
"2022-11-28 21:05","10944","6444","850","7625","6701","-1314","9","118","568","338","82","172","0","2179",
"2022-11-28 21:10","10962","6449","865","7615","6588","-1314","9","116","568","339","81","172","0","2181",
"2022-11-28 21:15","10899","6452","868","7524","6516","-1202","9","114","568","336","83","171","0","2181",
"2022-11-28 21:20","10887","6453","880","7492","6288","-1196","9","111","568","335","83","173","0","2178",
"2022-11-28 21:25","10777","6456","896","7454","6082","-1169","9","95","568","339","74","172","0","2175",
"2022-11-28 21:30","10765","6460","897","7393","5963","-1105","9","90","568","345","69","173","0","2175",
"2022-11-28 21:35","10767","6460","904","7362","5799","-1260","9","85","568","344","68","171","0","2177",
"2022-11-28 21:40","10786","6465","913","7212","5489","-1114","9","73","568","339","69","172","0","2170",
"2022-11-28 21:45","10811","6471","906","7059","5312","-1182","9","73","568","339","68","171","0","2174",
"2022-11-28 21:50","10798","6475","906","7052","5113","-1080","9","73","568","338","68","172","0","2179",
"2022-11-28 21:55","10767","6473","906","6989","4775","-1048","9","73","568","336","69","172","0","2177",
"2022-11-28 22:00","10732","6477","901","7030","4831","-1512","9","73","568","333","69","172","0","2171",
"2022-11-28 22:05","10624","6476","905","7325","4937","-1823","9","74","548","329","72","171","0","2181",
"2022-11-28 22:10","10525","6479","904","7422","5215","-2231","9","74","548","327","75","171","0","2182",
"2022-11-28 22:15","10428","6484","904","7379","5074","-2191","9","74","548","324","75","172","0","2179",
"2022-11-28 22:20","10427","6489","904","7329","4897","-2480","9","74","548","320","74","170","0","2179",
"2022-11-28 22:25","10463","6489","906","7193","4740","-2447","9","74","548","315","73","171","0","2175",
"2022-11-28 22:30","10505","6492","910","7087","4738","-2457","9","73","548","310","76","170","0","2179",
"2022-11-28 22:35","10559","6488","909","6903","4473","-2519","9","74","548","302","74","172","0","2176",
"2022-11-28 22:40","10554","6495","909","6791","4119","-2246","9","73","548","298","73","171","0","2175",
"2022-11-28 22:45","10611","6498","910","6707","3915","-2231","9","73","548","292","73","172","0","2170",
"2022-11-28 22:50","10577","6501","907","6525","3789","-2196","9","73","548","291","74","171","0","2170",
"2022-11-28 22:55","10613","6506","906","6437","3640","-2155","9","73","548","280","60","171","0","2170",
"2022-11-28 23:00","10555","6507","908","6377","3651","-2385","9","72","548","274","54","171","0","2165",
"2022-11-28 23:05","10498","6502","909","6013","3759","-2235","9","73","544","270","47","169","0","2154",
"2022-11-28 23:10","10361","6504","909","5975","3677","-2348","9","73","544","271","41","164","0","2150",
"2022-11-28 23:15","10335","6515","911","5814","3473","-1922","5","73","544","260","40","154","0","2146",
"2022-11-28 23:20","10323","6513","910","5837","3310","-2063","5","73","544","260","40","144","0","2151",
"2022-11-28 23:25","10262","6511","905","5843","3059","-2243","5","74","544","253","40","134","0","2148",
"2022-11-28 23:30","10284","6522","902","5682","2940","-2075","5","73","544","258","40","126","0","2140",
"2022-11-28 23:35","10354","6518","905","5300","2755","-2042","5","74","544","253","40","124","0","2145",
"2022-11-28 23:40","10286","6522","905","5401","2688","-2169","5","74","544","252","40","123","0","2141",
"2022-11-28 23:45","10245","6529","900","5185","2520","-1917","5","73","544","250","39","124","0","2139",
"2022-11-28 23:50","10246","6534","904","5150","2478","-2107","5","24","544","251","38","123","0","2130",
"2022-11-28 23:55","10245","6531","902","4877","2390","-1921","5","21","544","247","38","124","0","2114",
"2022-11-29 00:00","10237","6533","905","4930","2563","-2302","5","23","544","246","39","123","0","2109",
"2022-11-29 00:05","10227","6536","905","5499","2954","-3007","5","21","580","239","38","122","0","2068",
"2022-11-29 00:10","10230","6537","909","5938","2817","-3160","5","22","580","227","37","122","0","2061",
"2022-11-29 00:15","10207","6536","906","5976","2633","-3053","5","22","580","224","36","121","0","2045",
"2022-11-29 00:20","10217","6539","907","5773","2695","-3231","5","23","580","222","36","121","0","2030",
"2022-11-29 00:25","10179","6550","902","5623","2627","-2878","5","23","580","225","35","121","0","2041",
"2022-11-29 00:30","10146","6551","906","5508","2623","-3157","5","23","580","226","33","121","0","2049",
"2022-11-29 00:35","10050","6548","905","5378","2605","-3198","5","23","580","223","33","121","0","2038",
"2022-11-29 00:40","9879","6553","907","5357","2620","-3203","5","23","580","221","33","121","0","2055",
"2022-11-29 00:45","9808","6554","905","5228","2517","-3212","5","24","580","219","32","122","0","2050",
"2022-11-29 00:50","9821","6555","906","5252","2513","-3242","5","24","580","215","32","123","0","2054",
"2022-11-29 00:55","9767","6555","916","5197","2550","-3183","5","24","580","214","32","122","0","2056",
"2022-11-29 01:00","9719","6568","926","5293","2353","-3253","5","25","580","200","34","124","0","2052",
"2022-11-29 01:05","9662","6567","924","5477","2338","-3522","5","24","540","201","33","124","0","2033",
"2022-11-29 01:10","9696","6570","925","5463","2374","-3312","5","24","540","200","29","124","0","2035",
"2022-11-29 01:15","9703","6576","927","5522","2289","-3446","5","25","540","195","28","124","0","2036",
"2022-11-29 01:20","9617","6566","924","5636","2321","-3653","5","24","540","195","28","124","0","2040",
"2022-11-29 01:25","9611","6572","929","5477","2176","-3473","5","24","540","193","29","124","0","2034",
"2022-11-29 01:30","9523","6582","930","5443","2079","-3520","5","24","540","192","28","124","0","2033",
"2022-11-29 01:35","9506","6580","932","5496","2185","-3879","5","24","540","191","26","123","0","2033",
"2022-11-29 01:40","9467","6577","933","5300","2076","-3633","5","24","540","190","27","123","0","2032",
"2022-11-29 01:45","9368","6578","933","5440","2185","-3641","5","25","540","189","27","123","0","2040",
"2022-11-29 01:50","9294","6585","931","5534","2134","-3693","5","25","540","188","26","124","0","2042",
"2022-11-29 01:55","9192","6583","930","5542","2083","-3746","5","25","540","187","27","123","0","2045",
"2022-11-29 02:00","9176","6593","932","5564","2087","-3759","5","25","540","184","27","123","0","2043",
"2022-11-29 02:05","9133","6585","932","5623","2132","-3854","5","25","540","183","27","123","0","2043",
"2022-11-29 02:10","9182","6590","934","5607","2131","-4066","5","25","540","184","27","123","0","2042",
"2022-11-29 02:15","9195","6592","932","5702","2184","-4235","5","25","540","184","26","122","0","2048",
"2022-11-29 02:20","9244","6600","933","5516","2165","-4300","5","25","540","184","26","122","0","2047",
"2022-11-29 02:25","9187","6597","931","5324","2078","-4081","5","25","540","182","26","122","0","2042",
"2022-11-29 02:30","9150","6600","930","5346","2133","-4127","5","26","540","183","26","122","0","2043",
"2022-11-29 02:35","9146","6598","930","5406","2212","-4174","5","25","540","185","25","122","0","2043",
"2022-11-29 02:40","9120","6603","933","5320","2155","-4053","5","25","540","185","25","122","0","2043",
"2022-11-29 02:45","9058","6610","930","5240","2078","-4173","5","25","540","184","26","122","0","2037",
"2022-11-29 02:50","9030","6612","934","5292","2168","-4052","5","26","540","183","26","122","0","2041",
"2022-11-29 02:55","8893","6617","933","5342","2079","-3927","5","26","540","181","25","122","0","2043",
"2022-11-29 03:00","8853","6613","932","5466","2136","-3996","5","25","540","182","25","122","0","2046",
"2022-11-29 03:05","8811","6612","929","5594","2133","-4063","5","25","528","183","25","122","0","2039",
"2022-11-29 03:10","8725","6614","933","5467","2087","-3965","5","26","528","183","26","122","0","2037",
"2022-11-29 03:15","8631","6620","932","5485","2080","-4093","5","25","528","181","25","122","0","2039",
"2022-11-29 03:20","8639","6616","931","5419","2060","-4005","5","25","528","182","24","122","0","2043",
"2022-11-29 03:25","8590","6630","932","5340","2047","-3871","5","25","528","181","25","122","0","2029",
"2022-11-29 03:30","8593","6620","933","5354","2079","-4003","5","25","528","179","25","122","0","2035",
"2022-11-29 03:35","8649","6635","933","5387","2104","-4187","5","25","528","180","26","122","0","2040",
"2022-11-29 03:40","8622","6634","933","5433","2107","-4036","5","25","528","179","25","122","0","2045",
"2022-11-29 03:45","8675","6635","934","5443","2052","-3924","5","26","528","178","25","122","0","2048",
"2022-11-29 03:50","8657","6634","935","5529","1815","-4007","5","26","528","179","24","122","0","2055",
"2022-11-29 03:55","8711","6635","932","5361","1850","-3881","5","25","528","179","25","122","0","2057",
"2022-11-29 04:00","8743","6632","933","5356","1852","-3877","5","25","528","179","24","122","0","2052",
"2022-11-29 04:05","8755","6635","936","5368","2038","-3926","5","25","529","179","24","122","0","2062",
"2022-11-29 04:10","8716","6640","932","5275","2080","-4079","5","25","529","179","24","122","0","2059",
"2022-11-29 04:15","8721","6640","937","5290","2061","-4379","5","26","529","179","24","122","0","2055",
"2022-11-29 04:20","8659","6645","933","5313","2090","-4187","5","26","529","179","25","122","0","2053",
"2022-11-29 04:25","8702","6646","934","5377","2191","-4312","5","25","529","178","25","122","0","2054",
"2022-11-29 04:30","8712","6648","930","5424","2274","-4272","6","25","529","178","25","122","0","2055",
"2022-11-29 04:35","8727","6654","934","5455","2286","-4406","5","26","529","177","24","122","0","2057",
"2022-11-29 04:40","8796","6655","934","5365","2207","-4183","5","26","529","178","24","122","0","2056",
"2022-11-29 04:45","8885","6659","932","5230","2254","-4255","5","26","529","177","25","122","0","2048",
