Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-09-11 21:00","3235","6816","584","13216","5271","-293","88","425","479","381","186","215","0","2187",
"2023-09-11 21:05","3245","6814","585","13164","5196","-160","73","410","484","386","193","215","0","2189",
"2023-09-11 21:10","3267","6814","585","13131","5138","-236","73","407","484","385","204","215","0","2193",
"2023-09-11 21:15","3148","6817","585","13076","4923","167","72","403","467","385","207","215","0","2183",
"2023-09-11 21:20","3093","6815","585","12978","5007","237","65","396","472","387","211","215","0","2194",
"2023-09-11 21:25","3101","6818","586","12943","5027","110","65","393","472","392","209","215","0","2124",
"2023-09-11 21:30","3089","6815","586","12914","4888","74","65","391","470","392","207","214","0","2129",
"2023-09-11 21:35","2980","6814","585","12485","4691","5","65","390","469","391","206","215","0","2128",
"2023-09-11 21:40","3088","6814","585","12741","4394","245","64","390","469","391","200","216","0","2202",
"2023-09-11 21:45","3084","6817","585","12615","4211","234","64","389","469","394","194","215","0","2209",
"2023-09-11 21:50","3052","6816","586","12575","4251","240","63","387","470","392","204","214","0","2208",
"2023-09-11 21:55","2993","6817","586","12358","4174","315","63","386","470","393","199","214","0","2210",
"2023-09-11 22:00","2893","6820","585","12190","4098","305","63","371","470","389","202","215","0","2209",
"2023-09-11 22:05","2876","6815","585","12025","4107","14","63","387","485","387","206","215","0","2195",
"2023-09-11 22:10","2868","6817","584","11862","4072","265","63","386","485","385","196","213","0","2202",
"2023-09-11 22:15","2794","6816","586","11813","4167","249","63","385","472","385","198","214","0","2196",
"2023-09-11 22:20","2690","6817","583","11521","4222","282","63","386","472","384","206","215","0","2196",
"2023-09-11 22:25","2654","6814","583","11407","4209","208","63","385","472","383","210","215","0","2188",
"2023-09-11 22:30","2618","6818","586","11300","4031","221","63","386","472","380","206","216","0","2190",
"2023-09-11 22:35","2564","6821","587","11279","3948","240","63","385","472","379","206","214","0","2182",
"2023-09-11 22:40","2523","6821","586","11357","3792","169","63","383","472","379","199","215","0","2193",
"2023-09-11 22:45","2609","6817","584","11293","3468","402","63","383","472","377","193","214","0","2171",
"2023-09-11 22:50","2586","6819","579","11250","3455","241","63","381","473","371","190","214","0","2181",
"2023-09-11 22:55","2554","6818","556","11121","3383","190","63","371","473","373","182","214","0","2184",
"2023-09-11 23:00","2497","6821","541","11240","2701","667","62","345","473","370","178","206","0","2181",
"2023-09-11 23:05","2442","6815","544","12081","2597","-129","62","337","485","365","169","202","0","2174",
