Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-08-06 21:00","28395","28816","28679",
"2023-08-06 21:05","28471","28946","28679",
"2023-08-06 21:10","28766","29046","28679",
"2023-08-06 21:15","28871","29115","28982",
"2023-08-06 21:20","28998","29173","28982",
"2023-08-06 21:25","29138","29238","28982",
"2023-08-06 21:30","29162","29309","29442",
"2023-08-06 21:35","29482","29365","29442",
"2023-08-06 21:40","29577","29384","29442",
"2023-08-06 21:45","29640","29364","29647",
"2023-08-06 21:50","29745","29373","29647",
"2023-08-06 21:55","29728","29474","29647",
"2023-08-06 22:00","29727","29669","29547",
"2023-08-06 22:05","29676","29847","29547",
"2023-08-06 22:10","29675","29901","29547",
"2023-08-06 22:15","29583","29829","29445",
"2023-08-06 22:20","29469","29702","29445",
"2023-08-06 22:25","29462","29591","29445",
"2023-08-06 22:30","29325","29495","29259",
"2023-08-06 22:35","29258","29400","29259",
"2023-08-06 22:40","29021","29292","29259",
"2023-08-06 22:45","28910","29171","28735",
"2023-08-06 22:50","28786","29032","28735",
"2023-08-06 22:55","28569","28866","28735",
"2023-08-06 23:00","28500","28676","28170",
"2023-08-06 23:05","28233","28484","28170",
"2023-08-06 23:10","28188","28315","28170",
"2023-08-06 23:15","28019","28169","27793",
"2023-08-06 23:20","27725","28030","27793",
"2023-08-06 23:25","27726","27880","27793",
"2023-08-06 23:30","27513","27719","27276",
"2023-08-06 23:35","27347","27556","27276",
"2023-08-06 23:40","27374","27398","27276",
"2023-08-06 23:45","27037","27247","26679",
"2023-08-06 23:50","26948","27089","26679",
"2023-08-06 23:55","26557","26911","26679",
"2023-08-07 00:00","26528","26713","26226",
"2023-08-07 00:05","26709","26516","26226",
"2023-08-07 00:10","26528","26340","26226",
"2023-08-07 00:15","26303","26186","25498",
"2023-08-07 00:20","26229","26040","25498",
"2023-08-07 00:25","26115","25890","25498",
"2023-08-07 00:30","25936","25736","25610",
"2023-08-07 00:35","25542","25586","25610",
"2023-08-07 00:40","25458","25450","25610",
"2023-08-07 00:45","25510","25327","25300",
"2023-08-07 00:50","25366","25196","25300",
"2023-08-07 00:55","25293","25034","25300",
"2023-08-07 01:00","25167","24842","24591",
"2023-08-07 01:05","24971","24654","24591",
"2023-08-07 01:10","24920","24505","24591",
"2023-08-07 01:15","24744","24394","24203",
"2023-08-07 01:20","24497","24298","24203",
"2023-08-07 01:25","24271","24197","24203",
"2023-08-07 01:30","24259","24089","23720",
"2023-08-07 01:35","24296","23982","23720",
"2023-08-07 01:40","24119","23883","23720",
"2023-08-07 01:45","23744","23792","23433",
"2023-08-07 01:50","23795","23702","23433",
"2023-08-07 01:55","23730","23609","23433",
"2023-08-07 02:00","23659","23513","23386",
"2023-08-07 02:05","23509","23421","23386",
"2023-08-07 02:10","23434","23339","23386",
"2023-08-07 02:15","23298","23269","23004",
"2023-08-07 02:20","23278","23206","23004",
"2023-08-07 02:25","23237","23146","23004",
"2023-08-07 02:30","23033","23087","22890",
"2023-08-07 02:35","23151","23030","22890",
"2023-08-07 02:40","22965","22973","22890",
"2023-08-07 02:45","23064","22915","22835",
"2023-08-07 02:50","23071","22864","22835",
"2023-08-07 02:55","22834","22830","22835",
"2023-08-07 03:00","22740","22810","22661",
"2023-08-07 03:05","22656","22792","22661",
"2023-08-07 03:10","22576","22761","22661",
"2023-08-07 03:15","22499","22716","22474",
"2023-08-07 03:20","22372","22668","22474",
"2023-08-07 03:25","22385","22625","22474",
"2023-08-07 03:30","22438","22587","22049",
"2023-08-07 03:35","22295","22555","22049",
"2023-08-07 03:40","22357","22530","22049",
"2023-08-07 03:45","22346","22511","22047",
"2023-08-07 03:50","22074","22487","22047",
"2023-08-07 03:55","22156","22448","22047",
"2023-08-07 04:00","22056","22395","21932",
"2023-08-07 04:05","22021","22342","21932",
"2023-08-07 04:10","21994","22306","21932",
"2023-08-07 04:15","21937","22287","21940",
"2023-08-07 04:20","21935","22275","21940",
"2023-08-07 04:25","22080","22259","21940",
"2023-08-07 04:30","21959","22239","21943",
"2023-08-07 04:35","22005","22231","21943",
"2023-08-07 04:40","21978","22250","21943",
"2023-08-07 04:45","21836","22298","21812",
"2023-08-07 04:50","21858","22326","21812",
"2023-08-07 04:55","21781","22289","21812",
"2023-08-07 05:00","21748","22185","22359",
"2023-08-07 05:05","22096","22096","22359",
"2023-08-07 05:10","22253","22101","22359",
"2023-08-07 05:15","22156","22200","22209",
"2023-08-07 05:20","22205","22339","22209",
"2023-08-07 05:25","22184","22463","22209",
"2023-08-07 05:30","22192","22572","22456",
"2023-08-07 05:35","22261","22684","22456",
"2023-08-07 05:40","22223","22814","22456",
"2023-08-07 05:45","22513","22963","22804",
"2023-08-07 05:50","22631","23113","22804",
"2023-08-07 05:55","22619","23246","22804",
"2023-08-07 06:00","22866","23361","23313",
"2023-08-07 06:05","23519","23479","23313",
"2023-08-07 06:10","23700","23622","23313",
"2023-08-07 06:15","23742","23790","24113",
"2023-08-07 06:20","23744","23966","24113",
"2023-08-07 06:25","23941","24133","24113",
"2023-08-07 06:30","24212","24291","24313",
"2023-08-07 06:35","24433","24450","24313",
"2023-08-07 06:40","24330","24619","24313",
"2023-08-07 06:45","24772","24798","24604",
"2023-08-07 06:50","24819","24965","24604",
"2023-08-07 06:55","24813","25097","24604",
"2023-08-07 07:00","24923","25194","25462",
"2023-08-07 07:05","25647","25288","25462",
"2023-08-07 07:10","25751","25413","25462",
"2023-08-07 07:15","25697","25567","25886",
"2023-08-07 07:20","25719","25730","25886",
"2023-08-07 07:25","25612","25881","25886",
"2023-08-07 07:30","25813","26020","25948",
"2023-08-07 07:35","26002","26159","25948",
"2023-08-07 07:40","25966","26309","25948",
"2023-08-07 07:45","25980","26471","26219",
"2023-08-07 07:50","26253","26618","26219",
"2023-08-07 07:55","26045","26723","26219",
"2023-08-07 08:00","26333","26785","26987",
"2023-08-07 08:05","26683","26845","26987",
"2023-08-07 08:10","26774","26942","26987",
"2023-08-07 08:15","27079","27078","27183",
"2023-08-07 08:20","27016","27226","27183",
"2023-08-07 08:25","26994","27361","27183",
"2023-08-07 08:30","26951","27484","27483",
"2023-08-07 08:35","27075","27603","27483",
"2023-08-07 08:40","27408","27729","27483",
"2023-08-07 08:45","27630","27862","27683",
"2023-08-07 08:50","27580","27986","27683",
"2023-08-07 08:55","27721","28085","27683",
"2023-08-07 09:00","27854","28160","28324",
"2023-08-07 09:05","27902","28232","28324",
"2023-08-07 09:10","28013","28323","28324",
"2023-08-07 09:15","27937","28433","28317",
"2023-08-07 09:20","28062","28546","28317",
"2023-08-07 09:25","28265","28648","28317",
"2023-08-07 09:30","28212","28737","28467",
"2023-08-07 09:35","28312","28825","28467",
"2023-08-07 09:40","28359","28918","28467",
"2023-08-07 09:45","28796","29018","28907",
"2023-08-07 09:50","28906","29105","28907",
"2023-08-07 09:55","28744","29156","28907",
"2023-08-07 10:00","29028","29174","28970",
"2023-08-07 10:05","28860","29189","28970",
"2023-08-07 10:10","29013","29235","28970",
"2023-08-07 10:15","29096","29311","29170",
"2023-08-07 10:20","29290","29393","29170",
"2023-08-07 10:25","29227","29456","29170",
"2023-08-07 10:30","29069","29500","29370",
"2023-08-07 10:35","29245","29545","29370",
"2023-08-07 10:40","29284","29614","29370",
"2023-08-07 10:45","29389","29706","29434",
"2023-08-07 10:50","29197","29764","29434",
"2023-08-07 10:55","29302","29730","29434",
"2023-08-07 11:00","29348","29606","29474",
"2023-08-07 11:05","29495","29482","29474",
"2023-08-07 11:10","29410","29447","29474",
"2023-08-07 11:15","29522","29504","29625",
"2023-08-07 11:20","29422","29591","29625",
"2023-08-07 11:25","29319","29651","29625",
"2023-08-07 11:30","29495","29684","29729",
"2023-08-07 11:35","29534","29711","29729",
"2023-08-07 11:40","29768","29754","29729",
"2023-08-07 11:45","29654","29814","29809",
"2023-08-07 11:50","29629","29864","29809",
"2023-08-07 11:55","29712","29882","29809",
"2023-08-07 12:00","29826","29867","29899",
"2023-08-07 12:05","29944","29855","29899",
"2023-08-07 12:10","30071","29884","29899",
"2023-08-07 12:15","30018","29954","30186",
"2023-08-07 12:20","30079","30041","30186",
"2023-08-07 12:25","30310","30118","30186",
"2023-08-07 12:30","30349","30187","30404",
"2023-08-07 12:35","30450","30255","30404",
"2023-08-07 12:40","30338","30330","30404",
"2023-08-07 12:45","30358","30411","30416",
"2023-08-07 12:50","30430","30489","30416",
"2023-08-07 12:55","30782","30554","30416",
"2023-08-07 13:00","30857","30605","30693",
"2023-08-07 13:05","30900","30653","30693",
"2023-08-07 13:10","30858","30708","30693",
"2023-08-07 13:15","31159","30770","30929",
"2023-08-07 13:20","31346","30837","30929",
"2023-08-07 13:25","30921","30906","30929",
"2023-08-07 13:30","31054","30978","31196",
"2023-08-07 13:35","31200","31030","31196",
"2023-08-07 13:40","31446","31038","31196",
"2023-08-07 13:45","31323","31004","31203",
"2023-08-07 13:50","31361","31018","31203",
"2023-08-07 13:55","31269","31170","31203",
"2023-08-07 14:00","31454","31460","31525",
"2023-08-07 14:05","31476","31739","31525",
"2023-08-07 14:10","31462","31859","31525",
"2023-08-07 14:15","31348","31820","31648",
"2023-08-07 14:20","31388","31715","31648",
"2023-08-07 14:25","31516","31640","31648",
"2023-08-07 14:30","31499","31595","31658",
"2023-08-07 14:35","31386","31564","31658",
"2023-08-07 14:40","31232","31530","31658",
"2023-08-07 14:45","31275","31494","31451",
"2023-08-07 14:50","31293","31435","31451",
"2023-08-07 14:55","31329","31329","31451",
"2023-08-07 15:00","31109","31178","31299",
"2023-08-07 15:05","31015","31031","31299",
"2023-08-07 15:10","30964","30941","31299",
"2023-08-07 15:15","30997","30906","30799",
"2023-08-07 15:20","31148","30893","30799",
"2023-08-07 15:25","30760","30864","30799",
"2023-08-07 15:30","30774","30821","30699",
"2023-08-07 15:35","30804","30781","30699",
"2023-08-07 15:40","30588","30763","30699",
"2023-08-07 15:45","30592","30767","30788",
"2023-08-07 15:50","30647","30756","30788",
"2023-08-07 15:55","30751","30693","30788",
"2023-08-07 16:00","30758","30579","30633",
"2023-08-07 16:05","31014","30469","30633",
"2023-08-07 16:10","30837","30417","30633",
"2023-08-07 16:15","31009","30425","30725",
"2023-08-07 16:20","31035","30458","30725",
"2023-08-07 16:25","30897","30483","30725",
"2023-08-07 16:30","30845","30500","30852",
"2023-08-07 16:35","30768","30505","30852",
"2023-08-07 16:40","30876","30496","30852",
"2023-08-07 16:45","30797","30473","30993",
"2023-08-07 16:50","30674","30480","30993",
"2023-08-07 16:55","30900","30563","30993",
"2023-08-07 17:00","30955","30722","30834",
"2023-08-07 17:05","31109","30879","30834",
"2023-08-07 17:10","30978","30956","30834",
"2023-08-07 17:15","31022","30953","31044",
"2023-08-07 17:20","31256","30921","31044",
"2023-08-07 17:25","31230","30912","31044",
"2023-08-07 17:30","31047","30927","31133",
"2023-08-07 17:35","31133","30945","31133",
"2023-08-07 17:40","31070","30944","31133",
"2023-08-07 17:45","31103","30925","31033",
"2023-08-07 17:50","31393","30925","31033",
"2023-08-07 17:55","31242","30979","31033",
"2023-08-07 18:00","31164","31088","31198",
"2023-08-07 18:05","31432","31202","31198",
"2023-08-07 18:10","31278","31272","31198",
"2023-08-07 18:15","31262","31299","31181",
"2023-08-07 18:20","31574","31310","31181",
"2023-08-07 18:25","31640","31337","31181",
"2023-08-07 18:30","31470","31378","31599",
"2023-08-07 18:35","31519","31422","31599",
"2023-08-07 18:40","31476","31456","31599",
"2023-08-07 18:45","31681","31481","31599",
"2023-08-07 18:50","31696","31513","31599",
"2023-08-07 18:55","31374","31568","31599",
"2023-08-07 19:00","31359","31644","31747",
"2023-08-07 19:05","31626","31716","31747",
"2023-08-07 19:10","31445","31756","31747",
"2023-08-07 19:15","31520","31763","31816",
"2023-08-07 19:20","31655","31758","31816",
"2023-08-07 19:25","31408","31759","31816",
"2023-08-07 19:30","31726","31767","31795",
"2023-08-07 19:35","31792","31776","31795",
"2023-08-07 19:40","31755","31781","31795",
"2023-08-07 19:45","31689","31782","31587",
"2023-08-07 19:50","31843","31790","31587",
"2023-08-07 19:55","31688","31812","31587",
"2023-08-07 20:00","31650","31850","31965",
"2023-08-07 20:05","31795","31896","31965",
