Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-05-10 21:00","10588","5051","258","6035","6158","-2371","1105","785","506","323","128","143","0","2139",
"2023-05-10 21:05","10582","5056","258","6396","6134","-2429","978","782","512","320","141","143","0","2126",
"2023-05-10 21:10","10512","5056","259","6550","6018","-2169","900","762","512","318","142","143","0","2145",
"2023-05-10 21:15","10513","5057","259","6690","5959","-2085","848","747","512","315","145","143","0","2142",
"2023-05-10 21:20","10611","5055","260","6775","6010","-2121","811","708","512","317","146","143","0","2144",
"2023-05-10 21:25","10625","5059","260","6826","6167","-2121","795","679","512","316","142","143","0","2139",
"2023-05-10 21:30","10546","5058","260","6833","6212","-2028","788","647","525","323","143","144","0","2150",
"2023-05-10 21:35","10531","5054","258","6957","6202","-2053","784","635","512","318","142","144","0","2150",
"2023-05-10 21:40","10581","5054","259","6970","6196","-2124","783","633","512","323","140","143","0","2157",
"2023-05-10 21:45","10566","5059","257","6943","6052","-2013","783","619","525","323","138","144","0","2153",
"2023-05-10 21:50","10616","5055","257","6776","5976","-2271","782","618","525","330","136","143","0","2160",
"2023-05-10 21:55","10714","5060","257","6659","5862","-2292","781","617","525","326","134","143","0","2160",
"2023-05-10 22:00","10797","5054","259","6599","5658","-2441","167","613","525","325","129","143","0","2159",
"2023-05-10 22:05","10778","5056","259","6784","5705","-2851","41","607","538","323","121","144","0","2160",
"2023-05-10 22:10","10772","5055","259","6727","5562","-2942","39","605","538","319","116","144","0","2156",
"2023-05-10 22:15","10841","5055","259","6583","5444","-2981","29","604","538","312","112","143","0","2166",
"2023-05-10 22:20","10969","5053","263","6355","5410","-2836","27","601","538","310","111","143","0","2165",
"2023-05-10 22:25","10986","5056","258","6234","5307","-2730","27","601","538","304","108","143","0","2170",
"2023-05-10 22:30","11042","5059","258","6096","5134","-2625","28","601","538","300","98","143","0","2158",
"2023-05-10 22:35","11112","5058","258","5757","5107","-2694","27","600","538","297","99","143","0","2161",
"2023-05-10 22:40","11177","5058","258","5563","4755","-2431","27","600","538","293","96","143","0","2157",
"2023-05-10 22:45","11234","5056","257","5488","4629","-2507","27","600","538","289","90","143","0","2171",
"2023-05-10 22:50","11169","5051","259","5471","4546","-2673","27","598","538","285","88","143","0","2196",
"2023-05-10 22:55","11160","5055","258","5513","4194","-2732","27","599","538","282","87","143","0","2202",
"2023-05-10 23:00","11072","5059","258","5550","4114","-2804","27","594","538","279","90","142","0","2198",
"2023-05-10 23:05","11024","5058","258","5673","4213","-3178","27","595","526","278","90","142","0","2183",
"2023-05-10 23:10","11073","5056","261","5606","4152","-3158","27","595","526","280","85","142","0","2172",
"2023-05-10 23:15","11068","5059","257","5437","4081","-3012","27","596","526","276","74","145","0","2186",
"2023-05-10 23:20","11029","5057","257","5110","4243","-3089","26","596","526","274","74","141","0","2190",
"2023-05-10 23:25","10994","5058","253","5060","4059","-3173","24","594","526","262","73","141","0","2184",
"2023-05-10 23:30","10920","5060","257","5024","3854","-3103","24","593","526","251","71","137","0","2188",
"2023-05-10 23:35","10886","5058","256","4933","3785","-3066","21","594","526","252","64","129","0","2187",
"2023-05-10 23:40","10836","5056","256","4877","3587","-2937","21","594","526","249","63","123","0","2189",
"2023-05-10 23:45","10799","5059","256","4865","3391","-2997","21","593","526","247","62","123","0","2195",
"2023-05-10 23:50","10763","5057","257","4831","3461","-3097","21","593","526","245","63","123","0","2194",
"2023-05-10 23:55","10721","5063","256","4783","3384","-2917","22","594","526","241","63","123","0","2198",
"2023-05-11 00:00","10666","5056","256","4670","3049","-2759","21","592","526","242","49","124","0","2179",
"2023-05-11 00:05","10568","5061","256","4079","3329","-2145","22","592","520","242","49","123","0","2184",
"2023-05-11 00:10","10535","5060","256","4197","3355","-2216","22","592","520","228","44","124","0","2184",
"2023-05-11 00:15","10455","5059","255","4180","3384","-1956","22","591","520","227","45","124","0","2177",
"2023-05-11 00:20","10407","5060","257","4138","3428","-2123","21","591","520","226","45","123","0","2183",
"2023-05-11 00:25","10395","5060","255","4006","3340","-2032","19","590","520","224","45","123","0","2178",
"2023-05-11 00:30","10430","5060","257","3920","3289","-2194","19","590","520","225","44","124","0","2180",
"2023-05-11 00:35","10380","5061","255","3914","3260","-2147","19","590","520","224","44","123","0","2174",
"2023-05-11 00:40","10348","5061","255","3948","3277","-2129","19","591","520","220","43","123","0","2186",
"2023-05-11 00:45","10353","5060","256","3962","3260","-2190","19","591","520","220","44","123","0","2187",
"2023-05-11 00:50","10354","5057","260","3927","3126","-2274","18","591","520","210","43","124","0","2186",
"2023-05-11 00:55","10325","5059","257","3857","2978","-2003","19","589","520","202","44","124","0","2185",
"2023-05-11 01:00","10306","5061","259","3801","2915","-2221","19","586","520","198","44","123","0","2184",
"2023-05-11 01:05","10255","5062","259","3858","2869","-2113","19","575","516","199","44","124","0","2176",
"2023-05-11 01:10","10226","5063","259","3897","2822","-2270","19","560","516","199","43","123","0","2173",
"2023-05-11 01:15","10218","5061","259","3901","2680","-2366","19","549","516","197","43","123","0","2171",
"2023-05-11 01:20","10224","5057","259","3729","2570","-2166","19","546","516","198","44","123","0","2169",
"2023-05-11 01:25","10167","5061","259","3730","2628","-2210","17","542","516","196","43","124","0","2170",
"2023-05-11 01:30","10153","5055","259","3749","2673","-2315","19","539","516","194","38","123","0","2175",
"2023-05-11 01:35","10063","5056","259","3780","2623","-2154","19","532","516","193","39","123","0","2171",
"2023-05-11 01:40","9974","5057","259","3740","2545","-2154","19","516","516","190","39","123","0","2174",
"2023-05-11 01:45","9902","5060","259","3746","2567","-2087","19","509","516","190","39","123","0","2176",
"2023-05-11 01:50","9892","5060","259","3804","2612","-2206","19","508","516","189","38","123","0","2174",
"2023-05-11 01:55","9921","5062","259","3805","2554","-2280","19","510","516","188","39","123","0","2180",
"2023-05-11 02:00","9859","5058","259","3853","2609","-2492","19","511","516","185","39","123","0","2179",
"2023-05-11 02:05","9748","5055","259","3984","2776","-2765","19","510","521","183","39","123","0","2180",
"2023-05-11 02:10","9674","5059","259","4047","2787","-2812","19","509","521","185","38","123","0","2183",
"2023-05-11 02:15","9560","5054","259","4065","2806","-2829","19","508","521","182","38","123","0","2179",
"2023-05-11 02:20","9482","5060","259","4091","2837","-2779","19","501","521","180","38","123","0","2178",
"2023-05-11 02:25","9427","5059","259","4099","2830","-2798","19","477","521","178","38","123","0","2179",
"2023-05-11 02:30","9366","5057","259","4045","2777","-2741","19","477","521","179","39","123","0","2177",
"2023-05-11 02:35","9330","5057","258","4055","2867","-2831","19","477","521","180","38","123","0","2175",
"2023-05-11 02:40","9338","5057","260","4062","2825","-2769","19","476","521","178","38","123","0","2185",
"2023-05-11 02:45","9333","5058","257","4072","2836","-2745","19","472","521","177","39","123","0","2171",
"2023-05-11 02:50","9271","5057","257","4060","2794","-2815","19","469","521","178","39","123","0","2180",
"2023-05-11 02:55","9178","5061","262","4035","2740","-2711","19","465","521","177","38","123","0","2183",
"2023-05-11 03:00","9128","5062","258","3941","2429","-2377","19","461","521","177","39","123","0","2185",
"2023-05-11 03:05","9030","5061","258","3849","2249","-1728","19","456","516","180","39","123","0","2180",
"2023-05-11 03:10","8954","5057","258","3771","2126","-1515","19","451","516","179","38","123","0","2177",
"2023-05-11 03:15","8968","5056","258","3698","2122","-1560","19","442","516","178","39","123","0","2181",
