Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-05-07 21:00","31602","32029","31756",
"2024-05-07 21:05","31693","32351","31756",
"2024-05-07 21:10","32039","32494","31756",
"2024-05-07 21:15","32272","32458","32523",
"2024-05-07 21:20","32709","32342","32523",
"2024-05-07 21:25","32849","32244","32523",
"2024-05-07 21:30","32861","32164","32540",
"2024-05-07 21:35","32868","32075","32540",
"2024-05-07 21:40","32725","31952","32540",
"2024-05-07 21:45","32222","31793","32028",
"2024-05-07 21:50","32175","31621","32028",
"2024-05-07 21:55","31793","31456","32028",
"2024-05-07 22:00","31794","31298","31043",
"2024-05-07 22:05","31675","31128","31043",
"2024-05-07 22:10","31299","30925","31043",
"2024-05-07 22:15","30778","30689","30474",
"2024-05-07 22:20","30717","30437","30474",
"2024-05-07 22:25","30533","30185","30474",
"2024-05-07 22:30","30030","29932","29999",
"2024-05-07 22:35","29994","29674","29999",
"2024-05-07 22:40","29782","29404","29999",
"2024-05-07 22:45","29157","29121","29270",
"2024-05-07 22:50","29122","28850","29270",
"2024-05-07 22:55","28928","28611","29270",
"2024-05-07 23:00","28777","28405","28467",
"2024-05-07 23:05","28464","28211","28467",
"2024-05-07 23:10","28379","28008","28467",
"2024-05-07 23:15","28065","27795","27661",
"2024-05-07 23:20","27735","27583","27661",
"2024-05-07 23:25","27486","27380","27661",
"2024-05-07 23:30","27223","27187","27140",
"2024-05-07 23:35","27022","27008","27140",
"2024-05-07 23:40","26726","26844","27140",
"2024-05-07 23:45","26391","26696","26425",
"2024-05-07 23:50","26317","26537","26425",
"2024-05-07 23:55","25982","26341","26425",
"2024-05-08 00:00","25949","26108","25803",
"2024-05-08 00:05","25867","25878","25803",
"2024-05-08 00:10","25810","25693","25803",
"2024-05-08 00:15","25787","25552","25303",
"2024-05-08 00:20","25583","25429","25303",
"2024-05-08 00:25","25691","25300","25303",
"2024-05-08 00:30","25405","25163","25198",
"2024-05-08 00:35","25169","25026","25198",
"2024-05-08 00:40","25053","24895","25198",
"2024-05-08 00:45","24913","24770","25214",
"2024-05-08 00:50","24750","24651","25214",
"2024-05-08 00:55","24592","24537","25214",
"2024-05-08 01:00","24632","24430","24380",
"2024-05-08 01:05","24666","24325","24380",
"2024-05-08 01:10","24559","24219","24380",
"2024-05-08 01:15","24461","24113","23881",
"2024-05-08 01:20","24310","24009","23881",
"2024-05-08 01:25","24348","23909","23881",
"2024-05-08 01:30","24172","23815","23463",
"2024-05-08 01:35","24100","23723","23463",
"2024-05-08 01:40","23939","23632","23463",
"2024-05-08 01:45","23826","23543","23383",
"2024-05-08 01:50","23727","23459","23383",
"2024-05-08 01:55","23491","23388","23383",
"2024-05-08 02:00","23453","23328","23263",
"2024-05-08 02:05","23510","23273","23263",
"2024-05-08 02:10","23319","23214","23263",
"2024-05-08 02:15","23424","23152","23093",
"2024-05-08 02:20","23412","23090","23093",
"2024-05-08 02:25","23242","23032","23093",
"2024-05-08 02:30","23201","22979","22793",
"2024-05-08 02:35","23080","22931","22793",
"2024-05-08 02:40","23233","22890","22793",
"2024-05-08 02:45","23205","22854","22793",
"2024-05-08 02:50","22986","22817","22793",
"2024-05-08 02:55","22935","22771","22793",
"2024-05-08 03:00","22943","22716","22678",
"2024-05-08 03:05","22887","22663","22678",
"2024-05-08 03:10","22658","22626","22678",
"2024-05-08 03:15","22486","22603","22487",
"2024-05-08 03:20","22576","22589","22487",
"2024-05-08 03:25","22764","22576","22487",
"2024-05-08 03:30","22486","22564","22247",
"2024-05-08 03:35","22557","22550","22247",
"2024-05-08 03:40","22544","22529","22247",
"2024-05-08 03:45","22417","22502","22662",
"2024-05-08 03:50","22451","22489","22662",
"2024-05-08 03:55","22514","22513","22662",
"2024-05-08 04:00","22320","22574","22060",
"2024-05-08 04:05","22316","22633","22060",
"2024-05-08 04:10","22474","22655","22060",
"2024-05-08 04:15","22592","22640","22231",
"2024-05-08 04:20","22468","22609","22231",
"2024-05-08 04:25","22361","22585","22231",
"2024-05-08 04:30","22446","22567","22850",
"2024-05-08 04:35","22490","22571","22850",
"2024-05-08 04:40","22616","22608","22850",
"2024-05-08 04:45","22384","22681","22629",
"2024-05-08 04:50","22478","22720","22629",
"2024-05-08 04:55","22554","22658","22629",
"2024-05-08 05:00","22659","22495","22749",
"2024-05-08 05:05","22929","22350","22749",
"2024-05-08 05:10","22745","22343","22749",
"2024-05-08 05:15","23033","22474","22853",
"2024-05-08 05:20","23150","22663","22853",
"2024-05-08 05:25","23024","22832","22853",
"2024-05-08 05:30","23176","22979","22950",
"2024-05-08 05:35","23287","23128","22950",
"2024-05-08 05:40","23469","23303","22950",
"2024-05-08 05:45","23467","23503","23548",
"2024-05-08 05:50","23618","23707","23548",
"2024-05-08 05:55","23750","23895","23548",
"2024-05-08 06:00","23796","24066","24444",
"2024-05-08 06:05","24600","24244","24444",
"2024-05-08 06:10","25008","24451","24444",
"2024-05-08 06:15","25290","24688","25235",
"2024-05-08 06:20","25669","24941","25235",
"2024-05-08 06:25","25822","25197","25235",
"2024-05-08 06:30","25790","25457","25806",
"2024-05-08 06:35","26125","25706","25806",
"2024-05-08 06:40","26300","25930","25806",
"2024-05-08 06:45","26557","26129","26523",
"2024-05-08 06:50","26684","26364","26523",
"2024-05-08 06:55","26878","26693","26523",
"2024-05-08 07:00","27087","27118","28025",
"2024-05-08 07:05","27826","27533","28025",
"2024-05-08 07:10","28156","27833","28025",
"2024-05-08 07:15","28185","28019","28801",
"2024-05-08 07:20","28271","28161","28801",
"2024-05-08 07:25","28493","28331","28801",
"2024-05-08 07:30","28730","28529","28909",
"2024-05-08 07:35","29151","28715","28909",
"2024-05-08 07:40","29109","28852","28909",
"2024-05-08 07:45","29211","28938","29122",
"2024-05-08 07:50","29162","29057","29122",
"2024-05-08 07:55","29292","29291","29122",
"2024-05-08 08:00","29154","29641","30137",
"2024-05-08 08:05","29442","29978","30137",
"2024-05-08 08:10","29876","30171","30137",
"2024-05-08 08:15","30004","30222","30287",
"2024-05-08 08:20","29918","30213","30287",
"2024-05-08 08:25","29828","30227","30287",
"2024-05-08 08:30","30015","30265","30235",
