Emisiones (t CO2 eq / MWh)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-04-11 21:00","0","0","267","2075","0","0","0","0","0","237","114","130","0","609",
"2023-04-11 21:05","0","0","269","2086","0","0","0","0","0","235","116","131","0","604",
"2023-04-11 21:10","0","0","273","2103","0","0","0","0","0","235","116","130","0","605",
"2023-04-11 21:15","0","0","280","2118","0","0","0","0","0","236","115","131","0","610",
"2023-04-11 21:20","0","0","286","2056","0","0","0","0","0","237","118","131","0","611",
"2023-04-11 21:25","0","0","296","2017","0","0","0","0","0","237","117","131","0","613",
"2023-04-11 21:30","0","0","307","1920","0","0","0","0","0","238","115","131","0","613",
"2023-04-11 21:35","0","0","314","1917","0","0","0","0","0","240","108","131","0","612",
"2023-04-11 21:40","0","0","316","1861","0","0","0","0","0","240","102","138","0","613",
"2023-04-11 21:45","0","0","316","1747","0","0","0","0","0","238","95","142","0","614",
"2023-04-11 21:50","0","0","316","1617","0","0","0","0","0","239","96","144","0","613",
"2023-04-11 21:55","0","0","316","1577","0","0","0","0","0","238","97","145","0","614",
"2023-04-11 22:00","0","0","314","1576","0","0","0","0","0","237","97","149","0","615",
"2023-04-11 22:05","0","0","314","1627","0","0","0","0","0","235","83","151","0","613",
"2023-04-11 22:10","0","0","317","1642","0","0","0","0","0","234","76","157","0","614",
"2023-04-11 22:15","0","0","315","1637","0","0","0","0","0","231","75","155","0","614",
"2023-04-11 22:20","0","0","316","1603","0","0","0","0","0","227","75","154","0","614",
"2023-04-11 22:25","0","0","315","1605","0","0","0","0","0","226","74","148","0","614",
"2023-04-11 22:30","0","0","316","1593","0","0","0","0","0","222","75","144","0","614",
"2023-04-11 22:35","0","0","316","1515","0","0","0","0","0","219","74","140","0","615",
"2023-04-11 22:40","0","0","316","1470","0","0","0","0","0","220","75","139","0","615",
"2023-04-11 22:45","0","0","316","1423","0","0","0","0","0","217","75","138","0","615",
"2023-04-11 22:50","0","0","316","1319","0","0","0","0","0","215","75","140","0","615",
"2023-04-11 22:55","0","0","316","1258","0","0","0","0","0","207","72","140","0","615",
"2023-04-11 23:00","0","0","316","1249","0","0","0","0","0","209","65","139","0","614",
"2023-04-11 23:05","0","0","311","1325","0","0","0","0","0","205","61","137","0","614",
"2023-04-11 23:10","0","0","301","1353","0","0","0","0","0","197","61","132","0","611",
"2023-04-11 23:15","0","0","295","1296","0","0","0","0","0","197","59","131","0","613",
"2023-04-11 23:20","0","0","285","1222","0","0","0","0","0","188","60","129","0","612",
"2023-04-11 23:25","0","0","276","1169","0","0","0","0","0","182","59","129","0","611",
