Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2023-11-23 21:00","35605","35168","35118",
"2023-11-23 21:05","35328","35222","35118",
"2023-11-23 21:10","35212","35149","35118",
"2023-11-23 21:15","35262","34951","34709",
"2023-11-23 21:20","35031","34698","34709",
"2023-11-23 21:25","34709","34461","34709",
"2023-11-23 21:30","34495","34242","34006",
"2023-11-23 21:35","34151","34018","34006",
"2023-11-23 21:40","34038","33771","34006",
"2023-11-23 21:45","33817","33501","33206",
"2023-11-23 21:50","33465","33228","33206",
"2023-11-23 21:55","33056","32975","33206",
"2023-11-23 22:00","32585","32741","32239",
"2023-11-23 22:05","32326","32506","32239",
"2023-11-23 22:10","32227","32246","32239",
"2023-11-23 22:15","32160","31961","31339",
"2023-11-23 22:20","31576","31668","31339",
"2023-11-23 22:25","31512","31379","31339",
"2023-11-23 22:30","31265","31095","30828",
"2023-11-23 22:35","30975","30819","30828",
"2023-11-23 22:40","30741","30552","30828",
"2023-11-23 22:45","30164","30296","30328",
"2023-11-23 22:50","29994","30032","30328",
"2023-11-23 22:55","30031","29741","30328",
"2023-11-23 23:00","29902","29424","28735",
"2023-11-23 23:05","29579","29119","28735",
"2023-11-23 23:10","29432","28862","28735",
"2023-11-23 23:15","29204","28654","27905",
"2023-11-23 23:20","28876","28469","27905",
"2023-11-23 23:25","28879","28281","27905",
"2023-11-23 23:30","28406","28090","27860",
"2023-11-23 23:35","27933","27903","27860",
"2023-11-23 23:40","27732","27727","27860",
"2023-11-23 23:45","27485","27563","27571",
"2023-11-23 23:50","27462","27402","27571",
"2023-11-23 23:55","27252","27238","27571",
"2023-11-24 00:00","26978","27070","26742",
"2023-11-24 00:05","27232","26907","26742",
"2023-11-24 00:10","27323","26755","26742",
"2023-11-24 00:15","27060","26614","26771",
"2023-11-24 00:20","26859","26479","26771",
"2023-11-24 00:25","26863","26343","26771",
"2023-11-24 00:30","26676","26207","26628",
"2023-11-24 00:35","26195","26073","26628",
"2023-11-24 00:40","26143","25942","26628",
"2023-11-24 00:45","25742","25816","26037",
"2023-11-24 00:50","25721","25690","26037",
"2023-11-24 00:55","25600","25560","26037",
"2023-11-24 01:00","25523","25425","25228",
"2023-11-24 01:05","25173","25293","25228",
